mH,mA,mHc,sinba,cba,m12,tb
662.553,991.331,1002.43,0.999232,0.0391743,,9.20216
746.341,806.985,678.248,0.978177,0.207772,,9.20512
689.433,750.165,608.855,0.999221,0.0394517,,9.20546
784.042,986.465,1012.59,0.999048,0.0436285,,9.20756
924.11,975.048,1007.37,0.99818,0.0603128,,9.2078
666.649,993.481,1005.01,0.999414,0.0342335,,9.20858
607.079,993.316,1004.04,0.999487,0.0320146,,9.21116
797.239,993.022,1012.58,0.999473,0.0324685,,9.21171
980.855,945.459,1028.05,0.998261,0.0589431,,9.21175
700.12,770.27,635.197,0.999198,0.0400477,,9.21301
768.679,996.811,1003.32,0.999245,0.0388386,,9.21647
782.66,867.739,755.463,0.999285,0.0378084,,9.21675
663.503,996.9,1009.54,0.999851,0.0172624,,9.2195
746.306,588.535,573.655,0.981968,0.18905,,9.21953
762.271,995.446,1012.72,0.999491,0.0318879,,9.21953
573.646,994.499,1000.57,0.999698,0.0245899,,9.222
696.368,705.08,716.814,0.974274,0.225367,,9.22488000000001
785.134,646.828,612.107,0.982569,0.1859,,9.22759
723.114,980.474,1001.7,0.999305,0.0372671,,9.22799
696.55,867.19,701.493,0.998419,0.0562078,,9.22956000000001
689.831,991.147,1011.07,0.999345,0.0361894,,9.23163
958.862,902.13,1002.28,0.998898,0.0469382,,9.23213
642.234,725.065,759.516,0.974371,0.224946,,9.23466
770.064,994.014,1003.22,0.999377,0.0353024,,9.23681
953.443,971.921,1033.76,0.999093,0.0425754,,9.23714
582.835,768.328,578.733,0.982313,0.187248,,9.2384
690.429,987.852,1008.84,0.998052,0.0623944,,9.23844
600,493.804,616.426,0.998883,0.0472503,,9.24297999999999
600,536.277,643.783,0.998448,0.0556887,,9.24680000000001
795.083,979.274,1004.84,0.999501,0.0315747,,9.24769
960.314,900.504,1008.24,0.999193,0.0401692,,9.24772
919.836,918.887,1003.79,0.999704,0.0243444,,9.24869
982.654,942.158,1014.19,0.999378,0.0352531,,9.24873
569.904,677.504,705.551,0.975054,0.221969,57070.1,9.24903
783.707,735.223,815.518,0.974341,0.225078,,9.25353
715.502,996.571,1017.04,0.998894,0.0470175,,9.25438
673.81,997.735,1005.07,0.999167,0.0408088,,9.25557
766.337,983.238,1001.62,0.999202,0.039943,,9.25571
696.051,988.449,1005.23,0.999397,0.0347123,,9.25611
715.739,998.617,1014.56,0.999297,0.0374792,,9.25659
742.263,693.903,639.299,0.974419,0.224741,,9.26012000000001
691.939,835.315,686.154,0.999506,0.0314287,,9.26317000000001
836.243,700.874,833.456,0.975847,0.218455,,9.26360000000001
746.971,994.204,1006.68,0.999669,0.0257142,,9.26414
632.902,792.471,604.597,0.998383,0.0568369,,9.26461
826.185,712.895,826.246,0.975661,0.219282,,9.26493
730.767,990.799,1002.64,0.998808,0.0488082,,9.26514
740.632,710.858,655.307,0.975405,0.220418,,9.26592000000001
837.199,978.092,827.829,0.99852,0.0543818,,9.26693000000001
920.553,918.733,1001.49,0.998485,0.0550197,,9.2676
742.628,988.312,1002.23,0.998867,0.0475798,,9.26884
714.018,717.16,760.802,0.975866,0.218371,,9.27056000000001
752.655,599.297,732.777,0.976051,0.21754,,9.27074
943.893,952.357,1005.13,0.988207,0.153124,,9.27092
829.166,723.517,735.873,0.978933,0.204184,,9.27543999999999
686.801,995.1,1010.17,0.998858,0.0477793,,9.27546
679.785,868.592,673.028,0.977913,0.209012,,9.27566999999999
741.086,996.703,1013.29,0.999634,0.0270636,,9.27569
715.567,708.953,743.125,0.976112,0.217268,,9.27575
694.332,701.21,710.918,0.976026,0.217654,,9.27650999999999
986.502,958.595,1029.95,0.999508,0.0313533,,9.27705
836.49,867.982,776.581,0.999328,0.0366448,,9.27707
731.147,990.983,1007.98,0.999043,0.0437471,,9.28102
