Z7,mH,mHc,mA,sinba,cba,m12,tb,Z4,Z5,l1,l2,l3,l4,l5,l6,l7,alpha,beta,kappa1tt,kappa1bb,g_HpHmh,Gamma_h,Gamma_H,Gamma_Hc,Gamma_A,br_h_bb,br_h_tautau,br_h_gg,br_h_WW,br_h_ZZ,br_h_gaga,br_A_tt,br_A_bb,br_A_gg,br_A_mumu,br_A_tautau,br_A_Zga,br_A_Zh,br_A_ZH,br_A_gaga,br_H_tt,br_H_bb,br_H_gg,br_H_mumu,br_H_tautau,br_H_Zga,br_H_Zh,br_H_WW,br_H_ZZ,br_H_ZA,br_H_AA,br_H_hh,br_H_gaga,br_Hp_tb,br_Hp_taunu,br_Hp_Wh,br_Hp_WH,br_Hp_WA,X_sect_bg_tot,X_sect_bg_h,X_sect_bg_H,X_sect_bg_A,X_sect_bq_tot,X_sect_bq_h,X_sect_bq_H,X_sect_bq_A,X_sect_qq_tot,X_sect_qq_h,X_sect_qq_H,X_sect_qq_A
2.56928,847.718,765.895,678.242,0.950883,0.309552,72600.6,7.62982,5.69071,1.51476,1.15948,0.203376,13.2043,6.3924,2.21645,3.11E-15,-3.52E-15,0.111150412954373,1.44047463782789,1.00233,-0.853551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0900588286583,0.090008385,2.42E-05,1.12E-05,0.032410548437,0.0303952,0.00047886575,1.12E-05,0.00316504821,0.002548673,0.00022916531,0.0003945508
3.8519,843.454,566.331,592.29,0.949296,0.314385,121508,6.0829,3.88451,4.87676,1.05262,0.494275,15.0744,5.20124,6.19349,3.11E-15,-2.33E-15,0.215618022900424,1.40786030773206,0.989956,-1.31893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0833627882419,0.083331525,1.31E-05,3.69E-05,0.032295936492,0.03434747,0.000351736072,0.09280283217,0.00289846213,0.002491585,0.00012320964,0.0002865053
3.11217,846.12,600,603.744,0.999305,0.0372762253319726,119904,6.077,4.0688,4.21747,6.37236,0.547437,16.3339,5.27933,5.42801,3.11E-15,-3.25E-15,0.224912760625515,1.40771018072215,0.987922,-1.37359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051990619,7.13E-06,2.67E-05,0.031389673174,3.24E-05,0.0005341756,,,0.002562991,0.00016431707,0.0004380538999999
2.78941,729.883,451.76,620.386,0.931943,0.362606,57661.6,8.64338,-1.66483,4.2995,1.51755,0.703733,22.6593,-0.999738,4.96459,3.11E-15,-2.90E-15,0.25587803017135,1.45561295174659,0.973895,-2.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211005664472,0.051097187,4.14E-05,0.0007216989003,0.03165793621,0.03435548,0.0007283944,0.0007216989003,0.00390363143,0.0026275559999999,0.00028004184,0.000996826
-0.0628287,708.108,371.086,587.756,0.999789,0.0205332,53457.9,7.41854,-2.37666,4.47706,1.35841,0.917914,21.732,-1.52194,5.33178,3.11E-15,-2.80E-15,0.317085871978714,1.43686685789988,0.958733,-2.33507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111280316999,0.044653001,3.75E-05,8.12E-06,0.0343495255,0.03431962,4.24E-05,8.12E-06,0.00283750063,0.00233776676,0.0003496551999999,0.00014902264
2.86077,881.981,888.827,733.997,0.973974,0.226661,93027.1,6.98756,7.1733,-1.11581,3.12118,0.220541,16.5891,8.06851,-0.220591,3.11E-15,-3.39E-15,0.131154770313419,1.42867171028019,1.00151,-0.923269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050903179999,0.043905797,1.08E-05,9.46E-05,0.033512834046,0.03363105,0.000226902339,9.46E-05,0.00295687795,0.002421255,0.0001716999699999,0.0003696383
-0.198843,824.6,592.314,590.169,0.998195,0.0600637,50186.8,7.61975,4.07963,3.99597,0.914076,0.704664,20.3045,5.06256,4.9789,3.11E-15,-3.61E-15,0.239543577722493,1.4403278875006,0.979773,-1.82369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138569969523,0.0138249162,2.34E-05,9.89E-06,0.034442632541,0.03212685,7.55E-05,9.89E-06,0.00293930751,0.0023508563,0.0004220121,0.00015732761
0.0821314,791.461,278.969,662.434,0.99852,0.0543779,88467.2,6.15155,-5.02175,6.88743,2.74715,1.03979,23.9886,-3.68587,8.22331,3.11E-15,-2.94E-15,0.320454596157279,1.4096553680261,0.961549,-1.96329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0130665992835,0.0130483153,8.59E-06,0.435056368,0.034345246491,0.03433669,3.34E-05,4.4370182,0.0027593194,0.0023501229,0.0002207861,0.0001897517
3.25025,836.856,339.577,780.128,0.949574,0.313544,90141,6.22573,-7.68234,8.59118,0.496502,0.231506,19.2949,-6.60375,9.66977,3.11E-15,-3.47E-15,0.151902867984737,1.41153899483124,1.00115,-0.954179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0842985860213,0.0118799568,1.92E-05,4.11E-05,0.03245550083,0.03422945,0.00047924294,4.11E-05,0.00332086177,0.002576955,0.00021134171,0.0005372823
4.14167,874.829,590.262,628.794,0.932583,0.360957,114636,6.10391,3.59518,5.1448,1.48784,0.546055,17.3265,5.01488,6.5645,3.11E-15,-3.66E-15,0.221235699846166,1.40841784687408,0.988632,-1.35734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108055339461,0.0116278829,1.81E-05,0.00019227525491,0.03162360854,0.03429051,0.00047238288,0.00019227525491,0.00328782811,0.0026354559999999,0.0001401452,0.0005154818
