      -100           0          10          20          30          40          50          60          70          80          90         100
      650.00     0.020375    0.020041    0.020267    0.020493    0.020720    0.020946    0.021172    0.021399    0.021625    0.021852    0.022078
      660.00     0.019510    0.019260    0.019575    0.019890    0.020206    0.020521    0.020836    0.021152    0.021467    0.021782    0.022098
      670.00     0.018645    0.018479    0.018883    0.019287    0.019692    0.020096    0.020500    0.020905    0.021309    0.021713    0.022118
      680.00     0.017780    0.017698    0.018191    0.018684    0.019178    0.019671    0.020164    0.020658    0.021151    0.021644    0.022137
      690.00     0.016915    0.016917    0.017499    0.018081    0.018664    0.019246    0.019828    0.020410    0.020993    0.021575    0.022157
      700.00     0.016050    0.016136    0.016807    0.017478    0.018150    0.018821    0.019492    0.020163    0.020835    0.021506    0.022177
      710.00     0.016827    0.016982    0.017613    0.018244    0.018875    0.019506    0.020137    0.020768    0.021400    0.022031    0.022662
      720.00     0.017605    0.017828    0.018419    0.019010    0.019601    0.020192    0.020783    0.021374    0.021964    0.022555    0.023146
      730.00     0.018383    0.018675    0.019225    0.019776    0.020327    0.020877    0.021428    0.021979    0.022529    0.023080    0.023631
      740.00     0.019161    0.019521    0.020031    0.020542    0.021052    0.021563    0.022073    0.022584    0.023094    0.023605    0.024115
      750.00     0.019939    0.020367    0.020837    0.021308    0.021778    0.022248    0.022719    0.023189    0.023659    0.024130    0.024600
      760.00     0.020717    0.021213    0.021644    0.022074    0.022504    0.022934    0.023364    0.023794    0.024224    0.024654    0.025084
      770.00     0.021495    0.022060    0.022450    0.022840    0.023230    0.023619    0.024009    0.024399    0.024789    0.025179    0.025569
      780.00     0.022273    0.022906    0.023256    0.023605    0.023955    0.024305    0.024655    0.025004    0.025354    0.025704    0.026054
      790.00     0.023051    0.023752    0.024062    0.024371    0.024681    0.024990    0.025300    0.025610    0.025919    0.026229    0.026538
      800.00     0.023829    0.024599    0.024868    0.025137    0.025407    0.025676    0.025945    0.026215    0.026484    0.026753    0.027023
      810.00     0.022887    0.023668    0.024010    0.024352    0.024694    0.025036    0.025378    0.025720    0.026062    0.026405    0.026747
      820.00     0.021945    0.022737    0.023152    0.023567    0.023981    0.024396    0.024811    0.025226    0.025641    0.026056    0.026470
      830.00     0.021003    0.021806    0.022294    0.022781    0.023269    0.023756    0.024244    0.024732    0.025219    0.025707    0.026194
      840.00     0.020061    0.020875    0.021436    0.021996    0.022556    0.023117    0.023677    0.024237    0.024798    0.025358    0.025918
      850.00     0.019119    0.019944    0.020577    0.021211    0.021844    0.022477    0.023110    0.023743    0.024376    0.025009    0.025642
      860.00     0.018177    0.019014    0.019719    0.020425    0.021131    0.021837    0.022543    0.023248    0.023954    0.024660    0.025366
      870.00     0.017235    0.018083    0.018861    0.019640    0.020418    0.021197    0.021976    0.022754    0.023533    0.024311    0.025090
      880.00     0.016293    0.017152    0.018003    0.018855    0.019706    0.020557    0.021408    0.022260    0.023111    0.023962    0.024814
      890.00     0.015351    0.016221    0.017145    0.018069    0.018993    0.019917    0.020841    0.021765    0.022689    0.023613    0.024538
