   MHSM        BB       TAU TAU     MU MU         SS         CC         TT 
_______________________________________________________________________________
NaNs replaced with -1 (not all fortran compilers can currently read in NaNs)
         125.80  0.5700000      0.6140000E-01  0.2130000E-03  0.2430000E-03  0.2830000E-01   0.000000    
         125.90  0.5680000      0.6130000E-01  0.2130000E-03  0.2420000E-03  0.2820000E-01   0.000000    
         126.00  0.5660000      0.6110000E-01  0.2120000E-03  0.2420000E-03  0.2810000E-01   0.000000    
         126.10  0.5644000      0.6094000E-01  0.2114000E-03  0.2412000E-03  0.2802000E-01   0.000000    
         126.20  0.5628000      0.6078000E-01  0.2108000E-03  0.2404000E-03  0.2794000E-01   0.000000    
         126.30  0.5612000      0.6062000E-01  0.2102000E-03  0.2396000E-03  0.2786000E-01   0.000000    
         126.40  0.5596000      0.6046000E-01  0.2096000E-03  0.2388000E-03  0.2778000E-01   0.000000    
         126.50  0.5580000      0.6030000E-01  0.2090000E-03  0.2380000E-03  0.2770000E-01   0.000000    
         126.60  0.5564000      0.6012000E-01  0.2084000E-03  0.2374000E-03  0.2762000E-01   0.000000    
         126.70  0.5548000      0.5994000E-01  0.2078000E-03  0.2368000E-03  0.2754000E-01   0.000000    
         126.80  0.5532000      0.5976000E-01  0.2072000E-03  0.2362000E-03  0.2746000E-01   0.000000    
         126.90  0.5516000      0.5958000E-01  0.2066000E-03  0.2356000E-03  0.2738000E-01   0.000000    
         127.00  0.5500000      0.5940000E-01  0.2060000E-03  0.2350000E-03  0.2730000E-01   0.000000    
         127.10  0.5484000      0.5924000E-01  0.2054000E-03  0.2342000E-03  0.2722000E-01   0.000000    
         127.20  0.5468000      0.5908000E-01  0.2048000E-03  0.2334000E-03  0.2714000E-01   0.000000    
         127.30  0.5452000      0.5892000E-01  0.2042000E-03  0.2326000E-03  0.2706000E-01   0.000000    
         127.40  0.5436000      0.5876000E-01  0.2036000E-03  0.2318000E-03  0.2698000E-01   0.000000    
         127.50  0.5420000      0.5860000E-01  0.2030000E-03  0.2310000E-03  0.2690000E-01   0.000000    
         127.60  0.5402000      0.5842000E-01  0.2024000E-03  0.2304000E-03  0.2682000E-01   0.000000    
         127.70  0.5384000      0.5824000E-01  0.2018000E-03  0.2298000E-03  0.2674000E-01   0.000000    
         127.80  0.5366000      0.5806000E-01  0.2012000E-03  0.2292000E-03  0.2666000E-01   0.000000    
         127.90  0.5348000      0.5788000E-01  0.2006000E-03  0.2286000E-03  0.2658000E-01   0.000000    
         128.00  0.5330000      0.5770000E-01  0.2000000E-03  0.2280000E-03  0.2650000E-01   0.000000    
         128.10  0.5314000      0.5752000E-01  0.1994000E-03  0.2272000E-03  0.2642000E-01   0.000000    
         128.20  0.5298000      0.5734000E-01  0.1988000E-03  0.2264000E-03  0.2634000E-01   0.000000    
         128.30  0.5282000      0.5716000E-01  0.1982000E-03  0.2256000E-03  0.2626000E-01   0.000000    
         128.40  0.5266000      0.5698000E-01  0.1976000E-03  0.2248000E-03  0.2618000E-01   0.000000    
         128.50  0.5250000      0.5680000E-01  0.1970000E-03  0.2240000E-03  0.2610000E-01   0.000000    
         128.60  0.5232000      0.5662000E-01  0.1964000E-03  0.2232000E-03  0.2600000E-01   0.000000    
         128.70  0.5214000      0.5644000E-01  0.1958000E-03  0.2224000E-03  0.2590000E-01   0.000000    
         128.80  0.5196000      0.5626000E-01  0.1952000E-03  0.2216000E-03  0.2580000E-01   0.000000    
         128.90  0.5178000      0.5608000E-01  0.1946000E-03  0.2208000E-03  0.2570000E-01   0.000000    
         129.00  0.5160000      0.5590000E-01  0.1940000E-03  0.2200000E-03  0.2560000E-01   0.000000    
         129.10  0.5142000      0.5572000E-01  0.1934000E-03  0.2192000E-03  0.2552000E-01   0.000000    
         129.20  0.5124000      0.5554000E-01  0.1928000E-03  0.2184000E-03  0.2544000E-01   0.000000    
         129.30  0.5106000      0.5536000E-01  0.1922000E-03  0.2176000E-03  0.2536000E-01   0.000000    
         129.40  0.5088000      0.5518000E-01  0.1916000E-03  0.2168000E-03  0.2528000E-01   0.000000    
         129.50  0.5070000      0.5500000E-01  0.1910000E-03  0.2160000E-03  0.2520000E-01   0.000000    
         129.60  0.5052000      0.5482000E-01  0.1904000E-03  0.2154000E-03  0.2512000E-01   0.000000    
         129.70  0.5034000      0.5464000E-01  0.1898000E-03  0.2148000E-03  0.2504000E-01   0.000000    
         129.80  0.5016000      0.5446000E-01  0.1892000E-03  0.2142000E-03  0.2496000E-01   0.000000    
         129.90  0.4998000      0.5428000E-01  0.1886000E-03  0.2136000E-03  0.2488000E-01   0.000000    
         130.00  0.4980000      0.5410000E-01  0.1880000E-03  0.2130000E-03  0.2480000E-01   0.000000    
