   MHSM          GG     GAM GAM     Z GAM         WW         ZZ       WIDTH
_______________________________________________________________________________
NaNs replaced with -1 (not all fortran compilers can currently read in NaNs)
 6.10000     0.1790     0.2519E-04  0.000     0.3485E-09 0.1170E-09 0.2424E-04
 6.20000     0.1799     0.2614E-04  0.000     0.3814E-09 0.1281E-09 0.2482E-04
 6.30000     0.1808     0.2709E-04  0.000     0.4168E-09 0.1400E-09 0.2541E-04
 6.40000     0.1818     0.2805E-04  0.000     0.4551E-09 0.1528E-09 0.2599E-04
 6.50000     0.1829     0.2901E-04  0.000     0.4962E-09 0.1666E-09 0.2657E-04
 6.60000     0.1841     0.2994E-04  0.000     0.5405E-09 0.1815E-09 0.2715E-04
 6.70000     0.1853     0.3095E-04  0.000     0.5880E-09 0.1974E-09 0.2772E-04
 6.80000     0.1867     0.3192E-04  0.000     0.6391E-09 0.2146E-09 0.2830E-04
 6.90000     0.1880     0.3289E-04  0.000     0.6938E-09 0.2329E-09 0.2888E-04
 7.00000     0.1895     0.3387E-04  0.000     0.7524E-09 0.2526E-09 0.2945E-04
 7.10000     0.1910     0.3485E-04  0.000     0.8151E-09 0.2736E-09 0.3003E-04
 7.20000     0.1926     0.3582E-04  0.000     0.8820E-09 0.2961E-09 0.3061E-04
 7.30000     0.1942     0.3680E-04  0.000     0.9536E-09 0.3201E-09 0.3119E-04
 7.40000     0.1960     0.3778E-04  0.000     0.1030E-08 0.3457E-09 0.3177E-04
 7.50000     0.1977     0.3875E-04  0.000     0.1111E-08 0.3730E-09 0.3235E-04
 7.60000     0.1996     0.3972E-04  0.000     0.1198E-08 0.4020E-09 0.3293E-04
 7.70000     0.2015     0.4069E-04  0.000     0.1290E-08 0.4328E-09 0.3352E-04
 7.80000     0.2035     0.4166E-04  0.000     0.1387E-08 0.4656E-09 0.3411E-04
 7.90000     0.2055     0.4262E-04  0.000     0.1491E-08 0.5005E-09 0.3470E-04
 8.00000     0.2076     0.4358E-04  0.000     0.1601E-08 0.5374E-09 0.3529E-04
 8.10000     0.2098     0.4452E-04  0.000     0.1718E-08 0.5765E-09 0.3589E-04
 8.20000     0.2120     0.4548E-04  0.000     0.1841E-08 0.6179E-09 0.3649E-04
 8.30000     0.2144     0.4640E-04  0.000     0.1972E-08 0.6617E-09 0.3710E-04
 8.40000     0.2168     0.4731E-04  0.000     0.2110E-08 0.7080E-09 0.3771E-04
 8.50000     0.2193     0.4822E-04  0.000     0.2255E-08 0.7568E-09 0.3833E-04
 8.60000     0.2219     0.4911E-04  0.000     0.2409E-08 0.8083E-09 0.3895E-04
 8.70000     0.2246     0.4994E-04  0.000     0.2571E-08 0.8626E-09 0.3959E-04
 8.80000     0.2275     0.5083E-04  0.000     0.2741E-08 0.9196E-09 0.4023E-04
