mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
1  0.191786768  0.00847474021  466.45621  -0.493113768  -0.0290617402099  0.00340666779  466.137702668
2  0.150103148  0.0070757632  341.400483  -0.319133148  -0.0244467632  0.0026341628  341.216716163
3  0.136614564  0.00633615217  272.849384  -0.278625564  -0.0219051521699  0.00277622283  272.694580223
4  0.120635092  0.00576444479  228.374628  -0.219604092  -0.01864944479  0.00208908121  228.264863081
5  0.108438882  0.00531825584  194.989861  -0.178601882  -0.01754425584  0.00206552316  194.909537523
6  0.102022376  0.00497828904  169.358175  -0.169936376  -0.01563428904  0.00193081396  169.281535814
7  0.0971114458  0.00469299378  149.278064  -0.1624424458  -0.01421699378  0.00177864842  149.204987648
8  0.0910545871  0.00443428006  132.510874  -0.1495275871  -0.01409728006  0.00172876084  132.444466761
9  0.0871576158  0.00421503514  118.94287  -0.1441306158  -0.01256003514  0.00161762276  118.879169623
10  0.0835260417  0.00401749535  107.229156  -0.1410150417  -0.01213249535  0.00150462565  107.165056626
11  0.0802835383  0.00384337771  96.9748416  -0.1382865383  -0.01199657771  0.00153201829  96.9102174183
12  0.0778712733  0.00368790779  88.5285939  -0.1371034733  -0.01082830779  0.00159084991  88.4638121499
13  0.0758170247  0.00354757858  80.7421962  -0.1390152247  -0.01117147858  0.00147738562  80.6728514856
14  0.0738215929  0.00341873564  73.8316461  -0.1405509929  -0.01021133564  0.00134269016  73.7594667902
15  0.0723733384  0.00330109657  68.2579601  -0.1414965384  -0.00972479657  0.00125793483  68.1836711348
16  0.0707988967  0.00318932819  62.9301026  -0.1446850967  -0.00943822818999  0.00119860271  62.8511661027
17  0.0694378475  0.00308648025  58.1461835  -0.1456698475  -0.00919258024999  0.00129279465  58.0651381947
18  0.0681003004  0.00298886466  54.0956413  -0.1470421004  -0.00925226465999  0.00121615064  54.0116522506
19  0.0673325318  0.00290042093  50.1247444  -0.1510239318  -0.00942842092999  0.00115169297  50.035676693
20  0.066287886  0.00281430185  46.7704857  -0.153776486  -0.00861710185001  0.00119598525  46.6783902852
21  0.0655286459  0.00273511159  43.6391236  -0.1570145459  -0.00848131158999  0.00119471001  43.54308621
22  0.0649160492  0.0026583124  40.8215831  -0.1594871492  -0.0078639124  0.0010969946  40.7229033946
23  0.0641207237  0.00258688225  38.2575177  -0.1627668237  -0.00817958225  0.00116854475  38.1544474447
24  0.0633889578  0.00251767105  35.8045831  -0.1636251578  -0.00766317105001  0.00109037115  35.7002917711
25  0.0628680724  0.002451567  33.5548129  -0.1665201724  -0.007596067  0.0010960489  33.4471123489
26  0.0622749658  0.00238998349  31.6020768  -0.1697585658  -0.00777908349  0.00108673301  31.490290833
27  0.0618605544  0.00232973179  29.7521182  -0.1734230544  -0.00713533179  0.00101587761  29.6367659776
28  0.0614201598  0.002271837  28.0350351  -0.1751444598  -0.007645537  0.0009238008  27.9168609008
29  0.0608680805  0.00221825318  26.4401929  -0.1773288805  -0.00677295318  0.00110180352  26.3202792035
30  0.0605942491  0.00216515373  24.9853687  -0.1788453491  -0.00706955372999  0.00096301937  24.8631762194
31  0.0602017457  0.00211368918  23.6490687  -0.1820943457  -0.00724378918  0.00101699042  23.5230629904
32  0.0598543814  0.00206503408  22.3161982  -0.1851184814  -0.00616153408  0.00098409222  22.1878216922
33  0.0595323867  0.00201803197  21.1999067  -0.1862799867  -0.00700533197  0.00091009003  21.06908189
34  0.0591184548  0.00197323835  20.037529  -0.1878586548  -0.00663663835  0.00094084175  19.9050662418
35  0.0590235578  0.00192909169  18.9890455  -0.1887485578  -0.00644599169  0.00088995481  18.8556935548
36  0.0587148126  0.00188788089  18.107218  -0.1921662126  -0.00596868089  0.00094090681  17.9706267068
37  0.0584529464  0.00184636361  17.1926029  -0.1934976464  -0.00698776361  0.00096418319  17.0533809832
38  0.0582934907  0.0018070403  16.3610881  -0.1944014907  -0.0058332403  0.0009124771  16.2218663771
39  0.058091549  0.00176878729  15.579125  -0.196420349  -0.00577108729  0.00087571831  15.4376696183
40  0.0578164082  0.00173174174  14.8137288  -0.1975510082  -0.00568624174  0.00088881936  14.6709285194
41  0.0575750577  0.00169599659  14.117036  -0.1983980577  -0.00529939659  0.00083085801  13.973440458
42  0.0574044513  0.00166122925  13.4855377  -0.2007387513  -0.00561332925  0.00084474795  13.339096048
43  0.0572508321  0.0016270146  12.8561874  -0.2020090321  -0.0049090146  0.0007958775  12.7089430775
44  0.0569771518  0.00159515237  12.3029959  -0.2019818518  -0.00546225237  0.00096121273  12.1550853127
45  0.0568960132  0.0015637899  11.7541171  -0.2042219132  -0.0054862899  0.0008347414  11.6037034414
46  0.0567677281  0.00153300712  11.2588409  -0.2054079281  -0.00552560712  0.00079650798  11.107004608
47  0.0565438281  0.00150265844  10.7637439  -0.2063525281  -0.00483775844  0.00087992286  10.6114800229
48  0.0564468561  0.00147375149  10.3090503  -0.2069800561  -0.00495925149  0.00088921381  10.1559208138
