# CMS, CMS-PAS-HIG-18-014, Sept 2018, Fig 6a
# 18014_CMS_pp-tbHpm-taunu_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->tbH^\pm) x BR(H^\pm -> tau nu) in pb.
# MHp	obs		exp

       885.0          0.9742E-02      0.5773E-02
       890.0          0.9686E-02      0.5729E-02
       895.0          0.9630E-02      0.5686E-02
       900.0          0.9574E-02      0.5642E-02
       905.0          0.9518E-02      0.5599E-02
       910.0          0.9462E-02      0.5555E-02
       915.0          0.9406E-02      0.5511E-02
       920.0          0.9350E-02      0.5468E-02
       925.0          0.9294E-02      0.5424E-02
       930.0          0.9238E-02      0.5381E-02
       935.0          0.9182E-02      0.5337E-02
       940.0          0.9126E-02      0.5293E-02
       945.0          0.9070E-02      0.5250E-02
       950.0          0.9014E-02      0.5206E-02
       955.0          0.8957E-02      0.5163E-02
       960.0          0.8901E-02      0.5119E-02
       965.0          0.8845E-02      0.5075E-02
       970.0          0.8789E-02      0.5032E-02
       975.0          0.8733E-02      0.4988E-02
       980.0          0.8677E-02      0.4945E-02
       985.0          0.8621E-02      0.4901E-02
       990.0          0.8565E-02      0.4857E-02
       995.0          0.8509E-02      0.4814E-02
       1000.          0.8453E-02      0.4802E-02
       1005.          0.8435E-02      0.4790E-02
       1010.          0.8418E-02      0.4779E-02
       1015.          0.8400E-02      0.4767E-02
       1020.          0.8383E-02      0.4756E-02
       1025.          0.8365E-02      0.4744E-02
       1030.          0.8348E-02      0.4732E-02
       1035.          0.8330E-02      0.4721E-02
       1040.          0.8313E-02      0.4709E-02
       1045.          0.8295E-02      0.4698E-02
       1050.          0.8277E-02      0.4686E-02
       1055.          0.8260E-02      0.4674E-02
       1060.          0.8242E-02      0.4663E-02
       1065.          0.8225E-02      0.4651E-02
       1070.          0.8207E-02      0.4639E-02
       1075.          0.8190E-02      0.4628E-02
       1080.          0.8172E-02      0.4616E-02
       1085.          0.8155E-02      0.4605E-02
       1090.          0.8137E-02      0.4593E-02
       1095.          0.8120E-02      0.4581E-02
       1100.          0.8102E-02      0.4570E-02
       1105.          0.8084E-02      0.4558E-02
       1110.          0.8067E-02      0.4546E-02
       1115.          0.8049E-02      0.4535E-02
       1120.          0.8032E-02      0.4523E-02
       1125.          0.8014E-02      0.4512E-02
       1130.          0.7997E-02      0.4500E-02
       1135.          0.7979E-02      0.4488E-02
       1140.          0.7962E-02      0.4477E-02
       1145.          0.7944E-02      0.4465E-02
       1150.          0.7926E-02      0.4454E-02
       1155.          0.7909E-02      0.4442E-02
       1160.          0.7891E-02      0.4430E-02
       1165.          0.7874E-02      0.4419E-02
       1170.          0.7856E-02      0.4407E-02
       1175.          0.7839E-02      0.4395E-02
       1180.          0.7821E-02      0.4384E-02
       1185.          0.7804E-02      0.4372E-02
       1190.          0.7786E-02      0.4361E-02
       1195.          0.7769E-02      0.4349E-02
       1200.          0.7751E-02      0.4337E-02
       1205.          0.7733E-02      0.4326E-02
       1210.          0.7716E-02      0.4314E-02
       1215.          0.7698E-02      0.4302E-02
       1220.          0.7681E-02      0.4291E-02
       1225.          0.7663E-02      0.4279E-02
       1230.          0.7646E-02      0.4268E-02
       1235.          0.7628E-02      0.4256E-02
       1240.          0.7611E-02      0.4244E-02
       1245.          0.7593E-02      0.4233E-02
       1250.          0.7575E-02      0.4221E-02
       1255.          0.7558E-02      0.4210E-02
       1260.          0.7540E-02      0.4198E-02
       1265.          0.7523E-02      0.4186E-02
       1270.          0.7505E-02      0.4175E-02
       1275.          0.7488E-02      0.4163E-02
       1280.          0.7470E-02      0.4151E-02
       1285.          0.7453E-02      0.4140E-02
       1290.          0.7435E-02      0.4128E-02
       1295.          0.7418E-02      0.4117E-02
       1300.          0.7400E-02      0.4105E-02
       1305.          0.7382E-02      0.4093E-02
       1310.          0.7365E-02      0.4082E-02
       1315.          0.7347E-02      0.4070E-02
       1320.          0.7330E-02      0.4059E-02
       1325.          0.7312E-02      0.4047E-02
       1330.          0.7295E-02      0.4035E-02
       1335.          0.7277E-02      0.4024E-02
       1340.          0.7260E-02      0.4012E-02
       1345.          0.7242E-02      0.4000E-02
       1350.          0.7225E-02      0.3989E-02
       1355.          0.7207E-02      0.3977E-02
       1360.          0.7189E-02      0.3966E-02
       1365.          0.7172E-02      0.3954E-02
       1370.          0.7154E-02      0.3942E-02
       1375.          0.7137E-02      0.3931E-02
       1380.          0.7119E-02      0.3919E-02
       1385.          0.7102E-02      0.3907E-02
       1390.          0.7084E-02      0.3896E-02
       1395.          0.7067E-02      0.3884E-02
       1400.          0.7049E-02      0.3873E-02
       1405.          0.7031E-02      0.3861E-02
       1410.          0.7014E-02      0.3849E-02
       1415.          0.6996E-02      0.3838E-02
       1420.          0.6979E-02      0.3826E-02
       1425.          0.6961E-02      0.3815E-02
       1430.          0.6944E-02      0.3803E-02
       1435.          0.6926E-02      0.3791E-02
       1440.          0.6909E-02      0.3780E-02
       1445.          0.6891E-02      0.3768E-02
       1450.          0.6874E-02      0.3756E-02
       1455.          0.6856E-02      0.3745E-02
       1460.          0.6838E-02      0.3733E-02
       1465.          0.6821E-02      0.3722E-02
       1470.          0.6803E-02      0.3710E-02
       1475.          0.6786E-02      0.3698E-02
       1480.          0.6768E-02      0.3687E-02
       1485.          0.6751E-02      0.3675E-02
       1490.          0.6733E-02      0.3663E-02
       1495.          0.6716E-02      0.3652E-02
       1500.          0.6698E-02      0.3640E-02
       1505.          0.6681E-02      0.3629E-02
       1510.          0.6663E-02      0.3617E-02
       1515.          0.6645E-02      0.3605E-02
       1520.          0.6628E-02      0.3594E-02
       1525.          0.6610E-02      0.3582E-02
       1530.          0.6593E-02      0.3571E-02
       1535.          0.6575E-02      0.3559E-02
       1540.          0.6558E-02      0.3547E-02
       1545.          0.6540E-02      0.3536E-02
       1550.          0.6523E-02      0.3524E-02
       1555.          0.6505E-02      0.3512E-02
       1560.          0.6487E-02      0.3501E-02
       1565.          0.6470E-02      0.3489E-02
       1570.          0.6452E-02      0.3478E-02
       1575.          0.6435E-02      0.3466E-02
       1580.          0.6417E-02      0.3454E-02
       1585.          0.6400E-02      0.3443E-02
       1590.          0.6382E-02      0.3431E-02
       1595.          0.6365E-02      0.3419E-02
       1600.          0.6347E-02      0.3408E-02
       1605.          0.6330E-02      0.3396E-02
       1610.          0.6312E-02      0.3385E-02
       1615.          0.6294E-02      0.3373E-02
       1620.          0.6277E-02      0.3361E-02
       1625.          0.6259E-02      0.3350E-02
       1630.          0.6242E-02      0.3338E-02
       1635.          0.6224E-02      0.3327E-02
       1640.          0.6207E-02      0.3315E-02
       1645.          0.6189E-02      0.3303E-02
       1650.          0.6172E-02      0.3292E-02
