# ATLAS, arXiv:1807.08567, July 2018, Fig. 4b
# 8567_Atlas_X-HH-WWgaga_13TeV_36.1fb-1.txt
# limit set on sigma(pp->X) x BR(X->HH) x BR(H->WW) x BR(H->gaga) x 2 [symmetryfactor] in pb
# MX	obs		exp

       405.0          0.8986E-02      0.6214E-02
       406.0          0.8955E-02      0.6194E-02
       407.0          0.8924E-02      0.6174E-02
       408.0          0.8893E-02      0.6154E-02
       409.0          0.8862E-02      0.6133E-02
       410.0          0.8831E-02      0.6113E-02
       411.0          0.8800E-02      0.6093E-02
       412.0          0.8769E-02      0.6073E-02
       413.0          0.8738E-02      0.6052E-02
       414.0          0.8706E-02      0.6032E-02
       415.0          0.8675E-02      0.6012E-02
       416.0          0.8644E-02      0.5991E-02
       417.0          0.8613E-02      0.5971E-02
       418.0          0.8582E-02      0.5951E-02
       419.0          0.8551E-02      0.5931E-02
       420.0          0.8520E-02      0.5910E-02
       421.0          0.8489E-02      0.5890E-02
       422.0          0.8458E-02      0.5870E-02
       423.0          0.8426E-02      0.5850E-02
       424.0          0.8395E-02      0.5829E-02
       425.0          0.8364E-02      0.5809E-02
       426.0          0.8333E-02      0.5789E-02
       427.0          0.8302E-02      0.5768E-02
       428.0          0.8271E-02      0.5748E-02
       429.0          0.8240E-02      0.5728E-02
       430.0          0.8209E-02      0.5708E-02
       431.0          0.8177E-02      0.5687E-02
       432.0          0.8146E-02      0.5667E-02
       433.0          0.8115E-02      0.5647E-02
       434.0          0.8084E-02      0.5627E-02
       435.0          0.8053E-02      0.5606E-02
       436.0          0.8022E-02      0.5586E-02
       437.0          0.7991E-02      0.5566E-02
       438.0          0.7960E-02      0.5545E-02
       439.0          0.7929E-02      0.5525E-02
       440.0          0.7897E-02      0.5505E-02
       441.0          0.7866E-02      0.5485E-02
       442.0          0.7835E-02      0.5464E-02
       443.0          0.7804E-02      0.5444E-02
       444.0          0.7773E-02      0.5424E-02
       445.0          0.7742E-02      0.5403E-02
       446.0          0.7711E-02      0.5383E-02
       447.0          0.7680E-02      0.5363E-02
       448.0          0.7649E-02      0.5343E-02
       449.0          0.7617E-02      0.5322E-02
       450.0          0.7586E-02      0.5302E-02
       451.0          0.7555E-02      0.5282E-02
       452.0          0.7524E-02      0.5262E-02
       453.0          0.7493E-02      0.5241E-02
       454.0          0.7462E-02      0.5221E-02
       455.0          0.7431E-02      0.5201E-02
       456.0          0.7400E-02      0.5180E-02
       457.0          0.7368E-02      0.5160E-02
       458.0          0.7337E-02      0.5140E-02
       459.0          0.7306E-02      0.5120E-02
       460.0          0.7275E-02      0.5099E-02
       461.0          0.7244E-02      0.5079E-02
       462.0          0.7213E-02      0.5059E-02
       463.0          0.7182E-02      0.5039E-02
       464.0          0.7151E-02      0.5018E-02
       465.0          0.7120E-02      0.4998E-02
       466.0          0.7088E-02      0.4978E-02
       467.0          0.7057E-02      0.4957E-02
       468.0          0.7026E-02      0.4937E-02
       469.0          0.6995E-02      0.4917E-02
       470.0          0.6964E-02      0.4897E-02
       471.0          0.6933E-02      0.4876E-02
       472.0          0.6902E-02      0.4856E-02
       473.0          0.6871E-02      0.4836E-02
       474.0          0.6840E-02      0.4816E-02
       475.0          0.6808E-02      0.4795E-02
       476.0          0.6777E-02      0.4775E-02
       477.0          0.6746E-02      0.4755E-02
       478.0          0.6715E-02      0.4734E-02
       479.0          0.6684E-02      0.4714E-02
       480.0          0.6653E-02      0.4694E-02
       481.0          0.6622E-02      0.4674E-02
       482.0          0.6591E-02      0.4653E-02
       483.0          0.6559E-02      0.4633E-02
       484.0          0.6528E-02      0.4613E-02
       485.0          0.6497E-02      0.4592E-02
       486.0          0.6466E-02      0.4572E-02
       487.0          0.6435E-02      0.4552E-02
       488.0          0.6404E-02      0.4532E-02
       489.0          0.6373E-02      0.4511E-02
       490.0          0.6342E-02      0.4491E-02
       491.0          0.6311E-02      0.4471E-02
       492.0          0.6279E-02      0.4451E-02
       493.0          0.6248E-02      0.4430E-02
       494.0          0.6217E-02      0.4410E-02
       495.0          0.6186E-02      0.4390E-02
       496.0          0.6155E-02      0.4369E-02
       497.0          0.6124E-02      0.4349E-02
       498.0          0.6093E-02      0.4329E-02
       499.0          0.6062E-02      0.4309E-02
       500.0          0.6031E-02      0.4288E-02
