# CMS, CMS-PAS-HIG-17-033, March 2019
# 170331_CMS_gg_VBF-H-WW_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->H (ggF+VBF)) x BR(H->WW) in pb.
# MH     obs     exp

       1100.          0.4173E-01      0.4573E-01
       1105.          0.4134E-01      0.4532E-01
       1110.          0.4095E-01      0.4490E-01
       1115.          0.4056E-01      0.4448E-01
       1120.          0.4017E-01      0.4406E-01
       1125.          0.3978E-01      0.4365E-01
       1130.          0.3939E-01      0.4323E-01
       1135.          0.3900E-01      0.4281E-01
       1140.          0.3862E-01      0.4239E-01
       1145.          0.3823E-01      0.4198E-01
       1150.          0.3784E-01      0.4156E-01
       1155.          0.3745E-01      0.4114E-01
       1160.          0.3706E-01      0.4072E-01
       1165.          0.3667E-01      0.4031E-01
       1170.          0.3628E-01      0.3989E-01
       1175.          0.3589E-01      0.3947E-01
       1180.          0.3550E-01      0.3905E-01
       1185.          0.3511E-01      0.3864E-01
       1190.          0.3472E-01      0.3822E-01
       1195.          0.3433E-01      0.3780E-01
       1200.          0.3394E-01      0.3738E-01
       1205.          0.3355E-01      0.3697E-01
       1210.          0.3317E-01      0.3655E-01
       1215.          0.3278E-01      0.3613E-01
       1220.          0.3239E-01      0.3572E-01
       1225.          0.3200E-01      0.3530E-01
       1230.          0.3161E-01      0.3488E-01
       1235.          0.3122E-01      0.3446E-01
       1240.          0.3083E-01      0.3405E-01
       1245.          0.3044E-01      0.3363E-01
       1250.          0.3005E-01      0.3321E-01
       1255.          0.2966E-01      0.3279E-01
       1260.          0.2927E-01      0.3238E-01
       1265.          0.2888E-01      0.3196E-01
       1270.          0.2849E-01      0.3154E-01
       1275.          0.2810E-01      0.3112E-01
       1280.          0.2772E-01      0.3071E-01
       1285.          0.2733E-01      0.3029E-01
       1290.          0.2694E-01      0.2987E-01
       1295.          0.2655E-01      0.2945E-01
       1300.          0.2616E-01      0.2904E-01
       1305.          0.2577E-01      0.2862E-01
       1310.          0.2538E-01      0.2820E-01
       1315.          0.2499E-01      0.2778E-01
       1320.          0.2460E-01      0.2737E-01
       1325.          0.2421E-01      0.2695E-01
       1330.          0.2382E-01      0.2653E-01
       1335.          0.2343E-01      0.2611E-01
       1340.          0.2304E-01      0.2570E-01
       1345.          0.2266E-01      0.2528E-01
       1350.          0.2227E-01      0.2486E-01
       1355.          0.2188E-01      0.2444E-01
       1360.          0.2149E-01      0.2403E-01
       1365.          0.2110E-01      0.2361E-01
       1370.          0.2071E-01      0.2319E-01
       1375.          0.2032E-01      0.2277E-01
       1380.          0.1993E-01      0.2236E-01
       1385.          0.1954E-01      0.2194E-01
       1390.          0.1915E-01      0.2152E-01
       1395.          0.1876E-01      0.2110E-01
       1400.          0.1837E-01      0.2069E-01
       1405.          0.1798E-01      0.2027E-01
       1410.          0.1759E-01      0.1985E-01
       1415.          0.1721E-01      0.1943E-01
       1420.          0.1682E-01      0.1902E-01
       1425.          0.1643E-01      0.1860E-01
       1430.          0.1604E-01      0.1818E-01
       1435.          0.1565E-01      0.1776E-01
       1440.          0.1526E-01      0.1735E-01
       1445.          0.1487E-01      0.1693E-01
       1450.          0.1448E-01      0.1651E-01
       1455.          0.1409E-01      0.1609E-01
       1460.          0.1370E-01      0.1568E-01
       1465.          0.1331E-01      0.1526E-01
       1470.          0.1292E-01      0.1484E-01
       1475.          0.1253E-01      0.1442E-01
       1480.          0.1214E-01      0.1401E-01
       1485.          0.1176E-01      0.1359E-01
       1490.          0.1137E-01      0.1317E-01
       1495.          0.1098E-01      0.1275E-01
       1500.          0.1059E-01      0.1234E-01
       1505.          0.1054E-01      0.1227E-01
       1510.          0.1050E-01      0.1221E-01
       1515.          0.1045E-01      0.1215E-01
       1520.          0.1041E-01      0.1208E-01
       1525.          0.1036E-01      0.1202E-01
       1530.          0.1032E-01      0.1196E-01
       1535.          0.1027E-01      0.1190E-01
       1540.          0.1023E-01      0.1183E-01
       1545.          0.1018E-01      0.1177E-01
       1550.          0.1014E-01      0.1171E-01
       1555.          0.1009E-01      0.1164E-01
       1560.          0.1005E-01      0.1158E-01
       1565.          0.1000E-01      0.1152E-01
       1570.          0.9960E-02      0.1146E-01
       1575.          0.9915E-02      0.1139E-01
       1580.          0.9870E-02      0.1133E-01
       1585.          0.9826E-02      0.1127E-01
       1590.          0.9781E-02      0.1120E-01
       1595.          0.9736E-02      0.1114E-01
       1600.          0.9691E-02      0.1108E-01
       1605.          0.9646E-02      0.1102E-01
       1610.          0.9601E-02      0.1095E-01
       1615.          0.9557E-02      0.1089E-01
       1620.          0.9512E-02      0.1083E-01
       1625.          0.9467E-02      0.1076E-01
       1630.          0.9422E-02      0.1070E-01
       1635.          0.9377E-02      0.1064E-01
       1640.          0.9333E-02      0.1058E-01
       1645.          0.9288E-02      0.1051E-01
       1650.          0.9243E-02      0.1045E-01
       1655.          0.9198E-02      0.1039E-01
       1660.          0.9153E-02      0.1032E-01
       1665.          0.9108E-02      0.1026E-01
       1670.          0.9064E-02      0.1020E-01
       1675.          0.9019E-02      0.1013E-01
       1680.          0.8974E-02      0.1007E-01
       1685.          0.8929E-02      0.1001E-01
       1690.          0.8884E-02      0.9946E-02
       1695.          0.8840E-02      0.9883E-02
       1700.          0.8795E-02      0.9820E-02
       1705.          0.8750E-02      0.9757E-02
       1710.          0.8705E-02      0.9694E-02
       1715.          0.8660E-02      0.9631E-02
       1720.          0.8616E-02      0.9568E-02
       1725.          0.8571E-02      0.9506E-02
       1730.          0.8526E-02      0.9443E-02
       1735.          0.8481E-02      0.9380E-02
       1740.          0.8436E-02      0.9317E-02
       1745.          0.8391E-02      0.9254E-02
       1750.          0.8347E-02      0.9191E-02
       1755.          0.8302E-02      0.9128E-02
       1760.          0.8257E-02      0.9065E-02
       1765.          0.8212E-02      0.9002E-02
       1770.          0.8167E-02      0.8939E-02
       1775.          0.8123E-02      0.8876E-02
       1780.          0.8078E-02      0.8814E-02
       1785.          0.8033E-02      0.8751E-02
       1790.          0.7988E-02      0.8688E-02
       1795.          0.7943E-02      0.8625E-02
       1800.          0.7898E-02      0.8562E-02
       1805.          0.7854E-02      0.8499E-02
       1810.          0.7809E-02      0.8436E-02
       1815.          0.7764E-02      0.8373E-02
       1820.          0.7719E-02      0.8310E-02
       1825.          0.7674E-02      0.8247E-02
       1830.          0.7630E-02      0.8184E-02
       1835.          0.7585E-02      0.8122E-02
       1840.          0.7540E-02      0.8059E-02
       1845.          0.7495E-02      0.7996E-02
       1850.          0.7450E-02      0.7933E-02
       1855.          0.7405E-02      0.7870E-02
       1860.          0.7361E-02      0.7807E-02
       1865.          0.7316E-02      0.7744E-02
       1870.          0.7271E-02      0.7681E-02
       1875.          0.7226E-02      0.7618E-02
       1880.          0.7181E-02      0.7555E-02
       1885.          0.7137E-02      0.7492E-02
       1890.          0.7092E-02      0.7430E-02
       1895.          0.7047E-02      0.7367E-02
       1900.          0.7002E-02      0.7304E-02
       1905.          0.6957E-02      0.7241E-02
       1910.          0.6913E-02      0.7178E-02
       1915.          0.6868E-02      0.7115E-02
       1920.          0.6823E-02      0.7052E-02
       1925.          0.6778E-02      0.6989E-02
       1930.          0.6733E-02      0.6926E-02
       1935.          0.6688E-02      0.6863E-02
       1940.          0.6644E-02      0.6800E-02
       1945.          0.6599E-02      0.6738E-02
       1950.          0.6554E-02      0.6675E-02
       1955.          0.6509E-02      0.6612E-02
       1960.          0.6464E-02      0.6549E-02
       1965.          0.6420E-02      0.6486E-02
       1970.          0.6375E-02      0.6423E-02
       1975.          0.6330E-02      0.6360E-02
       1980.          0.6285E-02      0.6297E-02
       1985.          0.6240E-02      0.6234E-02
       1990.          0.6195E-02      0.6171E-02
       1995.          0.6151E-02      0.6108E-02
       2000.          0.6106E-02      0.6046E-02
       2005.          0.6089E-02      0.5983E-02
       2010.          0.6072E-02      0.5965E-02
       2015.          0.6055E-02      0.5948E-02
       2020.          0.6038E-02      0.5931E-02
       2025.          0.6021E-02      0.5914E-02
       2030.          0.6004E-02      0.5897E-02
       2035.          0.5987E-02      0.5880E-02
       2040.          0.5970E-02      0.5862E-02
       2045.          0.5953E-02      0.5845E-02
       2050.          0.5936E-02      0.5828E-02
       2055.          0.5919E-02      0.5811E-02
       2060.          0.5902E-02      0.5794E-02
       2065.          0.5885E-02      0.5777E-02
       2070.          0.5868E-02      0.5760E-02
       2075.          0.5851E-02      0.5742E-02
       2080.          0.5834E-02      0.5725E-02
       2085.          0.5816E-02      0.5708E-02
       2090.          0.5799E-02      0.5691E-02
       2095.          0.5782E-02      0.5674E-02
       2100.          0.5765E-02      0.5657E-02
       2105.          0.5748E-02      0.5639E-02
       2110.          0.5731E-02      0.5622E-02
       2115.          0.5714E-02      0.5605E-02
       2120.          0.5697E-02      0.5588E-02
       2125.          0.5680E-02      0.5571E-02
       2130.          0.5663E-02      0.5554E-02
       2135.          0.5646E-02      0.5536E-02
       2140.          0.5629E-02      0.5519E-02
       2145.          0.5612E-02      0.5502E-02
       2150.          0.5595E-02      0.5485E-02
       2155.          0.5578E-02      0.5468E-02
       2160.          0.5561E-02      0.5451E-02
       2165.          0.5544E-02      0.5433E-02
       2170.          0.5527E-02      0.5416E-02
       2175.          0.5510E-02      0.5399E-02
       2180.          0.5493E-02      0.5382E-02
       2185.          0.5476E-02      0.5365E-02
       2190.          0.5459E-02      0.5348E-02
       2195.          0.5442E-02      0.5330E-02
       2200.          0.5425E-02      0.5313E-02
       2205.          0.5408E-02      0.5296E-02
       2210.          0.5391E-02      0.5279E-02
       2215.          0.5374E-02      0.5262E-02
       2220.          0.5357E-02      0.5245E-02
       2225.          0.5340E-02      0.5227E-02
       2230.          0.5323E-02      0.5210E-02
       2235.          0.5306E-02      0.5193E-02
       2240.          0.5289E-02      0.5176E-02
       2245.          0.5272E-02      0.5159E-02
       2250.          0.5255E-02      0.5142E-02
       2255.          0.5238E-02      0.5125E-02
       2260.          0.5221E-02      0.5107E-02
       2265.          0.5204E-02      0.5090E-02
       2270.          0.5187E-02      0.5073E-02
       2275.          0.5170E-02      0.5056E-02
       2280.          0.5153E-02      0.5039E-02
       2285.          0.5136E-02      0.5022E-02
       2290.          0.5119E-02      0.5004E-02
       2295.          0.5102E-02      0.4987E-02
       2300.          0.5085E-02      0.4970E-02
       2305.          0.5068E-02      0.4953E-02
       2310.          0.5051E-02      0.4936E-02
       2315.          0.5033E-02      0.4919E-02
       2320.          0.5016E-02      0.4901E-02
       2325.          0.4999E-02      0.4884E-02
       2330.          0.4982E-02      0.4867E-02
       2335.          0.4965E-02      0.4850E-02
       2340.          0.4948E-02      0.4833E-02
       2345.          0.4931E-02      0.4816E-02
       2350.          0.4914E-02      0.4798E-02
       2355.          0.4897E-02      0.4781E-02
       2360.          0.4880E-02      0.4764E-02
       2365.          0.4863E-02      0.4747E-02
       2370.          0.4846E-02      0.4730E-02
       2375.          0.4829E-02      0.4713E-02
       2380.          0.4812E-02      0.4695E-02
       2385.          0.4795E-02      0.4678E-02
       2390.          0.4778E-02      0.4661E-02
       2395.          0.4761E-02      0.4644E-02
       2400.          0.4744E-02      0.4627E-02
       2405.          0.4727E-02      0.4610E-02
       2410.          0.4710E-02      0.4592E-02
       2415.          0.4693E-02      0.4575E-02
       2420.          0.4676E-02      0.4558E-02
       2425.          0.4659E-02      0.4541E-02
