# CMS, CMS-PAS-HIG-17-033, March 2019
# 170332_CMS_gg-H-WW_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->H) x BR(H->WW) in pb. (f_VBF floating)
# MH     obs     exp

       1115.          0.5656E-01      0.7420E-01
       1120.          0.5617E-01      0.7377E-01
       1125.          0.5579E-01      0.7334E-01
       1130.          0.5540E-01      0.7291E-01
       1135.          0.5502E-01      0.7248E-01
       1140.          0.5463E-01      0.7205E-01
       1145.          0.5425E-01      0.7162E-01
       1150.          0.5386E-01      0.7119E-01
       1155.          0.5348E-01      0.7076E-01
       1160.          0.5309E-01      0.7033E-01
       1165.          0.5271E-01      0.6990E-01
       1170.          0.5232E-01      0.6947E-01
       1175.          0.5194E-01      0.6904E-01
       1180.          0.5155E-01      0.6861E-01
       1185.          0.5117E-01      0.6818E-01
       1190.          0.5078E-01      0.6775E-01
       1195.          0.5040E-01      0.6732E-01
       1200.          0.5001E-01      0.6689E-01
       1205.          0.4963E-01      0.6646E-01
       1210.          0.4924E-01      0.6603E-01
       1215.          0.4886E-01      0.6560E-01
       1220.          0.4847E-01      0.6517E-01
       1225.          0.4809E-01      0.6475E-01
       1230.          0.4770E-01      0.6432E-01
       1235.          0.4732E-01      0.6389E-01
       1240.          0.4693E-01      0.6346E-01
       1245.          0.4655E-01      0.6303E-01
       1250.          0.4616E-01      0.6260E-01
       1255.          0.4578E-01      0.6217E-01
       1260.          0.4539E-01      0.6174E-01
       1265.          0.4501E-01      0.6131E-01
       1270.          0.4462E-01      0.6088E-01
       1275.          0.4424E-01      0.6045E-01
       1280.          0.4385E-01      0.6002E-01
       1285.          0.4346E-01      0.5959E-01
       1290.          0.4308E-01      0.5916E-01
       1295.          0.4269E-01      0.5873E-01
       1300.          0.4231E-01      0.5830E-01
       1305.          0.4192E-01      0.5787E-01
       1310.          0.4154E-01      0.5744E-01
       1315.          0.4115E-01      0.5701E-01
       1320.          0.4077E-01      0.5658E-01
       1325.          0.4038E-01      0.5615E-01
       1330.          0.4000E-01      0.5572E-01
       1335.          0.3961E-01      0.5529E-01
       1340.          0.3923E-01      0.5486E-01
       1345.          0.3884E-01      0.5444E-01
       1350.          0.3846E-01      0.5401E-01
       1355.          0.3807E-01      0.5358E-01
       1360.          0.3769E-01      0.5315E-01
       1365.          0.3730E-01      0.5272E-01
       1370.          0.3692E-01      0.5229E-01
       1375.          0.3653E-01      0.5186E-01
       1380.          0.3615E-01      0.5143E-01
       1385.          0.3576E-01      0.5100E-01
       1390.          0.3538E-01      0.5057E-01
       1395.          0.3499E-01      0.5014E-01
       1400.          0.3461E-01      0.4971E-01
       1405.          0.3422E-01      0.4928E-01
       1410.          0.3384E-01      0.4885E-01
       1415.          0.3345E-01      0.4842E-01
       1420.          0.3307E-01      0.4799E-01
       1425.          0.3268E-01      0.4756E-01
       1430.          0.3230E-01      0.4713E-01
       1435.          0.3191E-01      0.4670E-01
       1440.          0.3153E-01      0.4627E-01
       1445.          0.3114E-01      0.4584E-01
       1450.          0.3076E-01      0.4541E-01
       1455.          0.3037E-01      0.4498E-01
       1460.          0.2999E-01      0.4455E-01
       1465.          0.2960E-01      0.4413E-01
       1470.          0.2922E-01      0.4370E-01
       1475.          0.2883E-01      0.4327E-01
       1480.          0.2844E-01      0.4284E-01
       1485.          0.2806E-01      0.4241E-01
       1490.          0.2767E-01      0.4198E-01
       1495.          0.2729E-01      0.4155E-01
       1500.          0.2690E-01      0.4112E-01
       1505.          0.2679E-01      0.4097E-01
       1510.          0.2667E-01      0.4082E-01
       1515.          0.2656E-01      0.4067E-01
       1520.          0.2644E-01      0.4052E-01
       1525.          0.2632E-01      0.4037E-01
       1530.          0.2621E-01      0.4022E-01
       1535.          0.2609E-01      0.4007E-01
       1540.          0.2597E-01      0.3992E-01
       1545.          0.2586E-01      0.3977E-01
       1550.          0.2574E-01      0.3962E-01
       1555.          0.2563E-01      0.3947E-01
       1560.          0.2551E-01      0.3932E-01
       1565.          0.2539E-01      0.3917E-01
       1570.          0.2528E-01      0.3902E-01
       1575.          0.2516E-01      0.3887E-01
       1580.          0.2505E-01      0.3872E-01
       1585.          0.2493E-01      0.3857E-01
       1590.          0.2481E-01      0.3842E-01
       1595.          0.2470E-01      0.3827E-01
       1600.          0.2458E-01      0.3811E-01
       1605.          0.2446E-01      0.3796E-01
       1610.          0.2435E-01      0.3781E-01
       1615.          0.2423E-01      0.3766E-01
       1620.          0.2412E-01      0.3751E-01
       1625.          0.2400E-01      0.3736E-01
       1630.          0.2388E-01      0.3721E-01
       1635.          0.2377E-01      0.3706E-01
       1640.          0.2365E-01      0.3691E-01
       1645.          0.2353E-01      0.3676E-01
       1650.          0.2342E-01      0.3661E-01
       1655.          0.2330E-01      0.3646E-01
       1660.          0.2319E-01      0.3631E-01
       1665.          0.2307E-01      0.3616E-01
       1670.          0.2295E-01      0.3601E-01
       1675.          0.2284E-01      0.3586E-01
       1680.          0.2272E-01      0.3571E-01
       1685.          0.2260E-01      0.3556E-01
       1690.          0.2249E-01      0.3541E-01
       1695.          0.2237E-01      0.3526E-01
       1700.          0.2226E-01      0.3511E-01
       1705.          0.2214E-01      0.3496E-01
       1710.          0.2202E-01      0.3481E-01
       1715.          0.2191E-01      0.3466E-01
       1720.          0.2179E-01      0.3451E-01
       1725.          0.2167E-01      0.3436E-01
       1730.          0.2156E-01      0.3421E-01
       1735.          0.2144E-01      0.3406E-01
       1740.          0.2133E-01      0.3391E-01
       1745.          0.2121E-01      0.3376E-01
       1750.          0.2109E-01      0.3361E-01
       1755.          0.2098E-01      0.3346E-01
       1760.          0.2086E-01      0.3331E-01
       1765.          0.2075E-01      0.3316E-01
       1770.          0.2063E-01      0.3301E-01
       1775.          0.2051E-01      0.3286E-01
       1780.          0.2040E-01      0.3271E-01
       1785.          0.2028E-01      0.3256E-01
       1790.          0.2016E-01      0.3241E-01
       1795.          0.2005E-01      0.3226E-01
       1800.          0.1993E-01      0.3211E-01
       1805.          0.1982E-01      0.3196E-01
       1810.          0.1970E-01      0.3181E-01
       1815.          0.1958E-01      0.3166E-01
       1820.          0.1947E-01      0.3151E-01
       1825.          0.1935E-01      0.3136E-01
       1830.          0.1923E-01      0.3121E-01
       1835.          0.1912E-01      0.3106E-01
       1840.          0.1900E-01      0.3091E-01
       1845.          0.1889E-01      0.3076E-01
       1850.          0.1877E-01      0.3061E-01
       1855.          0.1865E-01      0.3046E-01
       1860.          0.1854E-01      0.3031E-01
       1865.          0.1842E-01      0.3016E-01
       1870.          0.1830E-01      0.3001E-01
       1875.          0.1819E-01      0.2986E-01
       1880.          0.1807E-01      0.2971E-01
       1885.          0.1796E-01      0.2956E-01
       1890.          0.1784E-01      0.2941E-01
       1895.          0.1772E-01      0.2926E-01
       1900.          0.1761E-01      0.2910E-01
       1905.          0.1749E-01      0.2895E-01
       1910.          0.1737E-01      0.2880E-01
       1915.          0.1726E-01      0.2865E-01
       1920.          0.1714E-01      0.2850E-01
       1925.          0.1703E-01      0.2835E-01
       1930.          0.1691E-01      0.2820E-01
       1935.          0.1679E-01      0.2805E-01
       1940.          0.1668E-01      0.2790E-01
       1945.          0.1656E-01      0.2775E-01
       1950.          0.1645E-01      0.2760E-01
       1955.          0.1633E-01      0.2745E-01
       1960.          0.1621E-01      0.2730E-01
       1965.          0.1610E-01      0.2715E-01
       1970.          0.1598E-01      0.2700E-01
       1975.          0.1586E-01      0.2685E-01
       1980.          0.1575E-01      0.2670E-01
       1985.          0.1563E-01      0.2655E-01
       1990.          0.1552E-01      0.2640E-01
       1995.          0.1540E-01      0.2625E-01
       2000.          0.1528E-01      0.2610E-01
       2005.          0.1528E-01      0.2604E-01
       2010.          0.1529E-01      0.2599E-01
       2015.          0.1529E-01      0.2593E-01
       2020.          0.1529E-01      0.2587E-01
       2025.          0.1529E-01      0.2581E-01
       2030.          0.1529E-01      0.2575E-01
       2035.          0.1529E-01      0.2569E-01
       2040.          0.1530E-01      0.2564E-01
       2045.          0.1530E-01      0.2558E-01
       2050.          0.1530E-01      0.2552E-01
       2055.          0.1530E-01      0.2546E-01
       2060.          0.1530E-01      0.2540E-01
       2065.          0.1530E-01      0.2534E-01
       2070.          0.1530E-01      0.2529E-01
       2075.          0.1531E-01      0.2523E-01
       2080.          0.1531E-01      0.2517E-01
       2085.          0.1531E-01      0.2511E-01
       2090.          0.1531E-01      0.2505E-01
       2095.          0.1531E-01      0.2500E-01
       2100.          0.1531E-01      0.2494E-01
       2105.          0.1532E-01      0.2488E-01
       2110.          0.1532E-01      0.2482E-01
       2115.          0.1532E-01      0.2476E-01
       2120.          0.1532E-01      0.2470E-01
       2125.          0.1532E-01      0.2465E-01
       2130.          0.1532E-01      0.2459E-01
       2135.          0.1533E-01      0.2453E-01
       2140.          0.1533E-01      0.2447E-01
       2145.          0.1533E-01      0.2441E-01
       2150.          0.1533E-01      0.2435E-01
       2155.          0.1533E-01      0.2430E-01
       2160.          0.1533E-01      0.2424E-01
       2165.          0.1533E-01      0.2418E-01
       2170.          0.1534E-01      0.2412E-01
       2175.          0.1534E-01      0.2406E-01
       2180.          0.1534E-01      0.2400E-01
       2185.          0.1534E-01      0.2395E-01
       2190.          0.1534E-01      0.2389E-01
       2195.          0.1534E-01      0.2383E-01
       2200.          0.1535E-01      0.2377E-01
       2205.          0.1535E-01      0.2371E-01
       2210.          0.1535E-01      0.2366E-01
       2215.          0.1535E-01      0.2360E-01
       2220.          0.1535E-01      0.2354E-01
       2225.          0.1535E-01      0.2348E-01
       2230.          0.1535E-01      0.2342E-01
       2235.          0.1536E-01      0.2336E-01
       2240.          0.1536E-01      0.2331E-01
       2245.          0.1536E-01      0.2325E-01
       2250.          0.1536E-01      0.2319E-01
       2255.          0.1536E-01      0.2313E-01
       2260.          0.1536E-01      0.2307E-01
       2265.          0.1537E-01      0.2301E-01
       2270.          0.1537E-01      0.2296E-01
       2275.          0.1537E-01      0.2290E-01
       2280.          0.1537E-01      0.2284E-01
       2285.          0.1537E-01      0.2278E-01
       2290.          0.1537E-01      0.2272E-01
       2295.          0.1538E-01      0.2267E-01
       2300.          0.1538E-01      0.2261E-01
       2305.          0.1538E-01      0.2255E-01
       2310.          0.1538E-01      0.2249E-01
       2315.          0.1538E-01      0.2243E-01
       2320.          0.1538E-01      0.2237E-01
       2325.          0.1538E-01      0.2232E-01
       2330.          0.1539E-01      0.2226E-01
       2335.          0.1539E-01      0.2220E-01
       2340.          0.1539E-01      0.2214E-01
       2345.          0.1539E-01      0.2208E-01
       2350.          0.1539E-01      0.2202E-01
       2355.          0.1539E-01      0.2197E-01
       2360.          0.1540E-01      0.2191E-01
       2365.          0.1540E-01      0.2185E-01
       2370.          0.1540E-01      0.2179E-01
       2375.          0.1540E-01      0.2173E-01
       2380.          0.1540E-01      0.2168E-01
       2385.          0.1540E-01      0.2162E-01
       2390.          0.1540E-01      0.2156E-01
       2395.          0.1541E-01      0.2150E-01
       2400.          0.1541E-01      0.2144E-01
       2405.          0.1541E-01      0.2138E-01
       2410.          0.1541E-01      0.2133E-01
       2415.          0.1541E-01      0.2127E-01
       2420.          0.1541E-01      0.2121E-01
       2425.          0.1542E-01      0.2115E-01
       2430.          0.1542E-01      0.2109E-01
       2435.          0.1542E-01      0.2103E-01
       2440.          0.1542E-01      0.2098E-01
       2445.          0.1542E-01      0.2092E-01
       2450.          0.1542E-01      0.2086E-01
       2455.          0.1542E-01      0.2080E-01
       2460.          0.1543E-01      0.2074E-01
       2465.          0.1543E-01      0.2069E-01
       2470.          0.1543E-01      0.2063E-01
       2475.          0.1543E-01      0.2057E-01
       2480.          0.1543E-01      0.2051E-01
       2485.          0.1543E-01      0.2045E-01
       2490.          0.1544E-01      0.2039E-01
       2495.          0.1544E-01      0.2034E-01
       2500.          0.1544E-01      0.2028E-01
       2505.          0.1544E-01      0.2024E-01
       2510.          0.1544E-01      0.2020E-01
       2515.          0.1544E-01      0.2016E-01
       2520.          0.1545E-01      0.2012E-01
       2525.          0.1545E-01      0.2008E-01
       2530.          0.1545E-01      0.2004E-01
       2535.          0.1545E-01      0.1999E-01
       2540.          0.1545E-01      0.1995E-01
       2545.          0.1545E-01      0.1991E-01
       2550.          0.1545E-01      0.1987E-01
       2555.          0.1546E-01      0.1983E-01
       2560.          0.1546E-01      0.1979E-01
       2565.          0.1546E-01      0.1975E-01
       2570.          0.1546E-01      0.1971E-01
       2575.          0.1546E-01      0.1967E-01
       2580.          0.1546E-01      0.1963E-01
       2585.          0.1547E-01      0.1959E-01
       2590.          0.1547E-01      0.1955E-01
       2595.          0.1547E-01      0.1951E-01
       2600.          0.1547E-01      0.1947E-01
       2605.          0.1547E-01      0.1943E-01
       2610.          0.1547E-01      0.1939E-01
       2615.          0.1547E-01      0.1935E-01
       2620.          0.1548E-01      0.1931E-01
       2625.          0.1548E-01      0.1927E-01
       2630.          0.1548E-01      0.1923E-01
       2635.          0.1548E-01      0.1919E-01
       2640.          0.1548E-01      0.1915E-01
       2645.          0.1548E-01      0.1911E-01
       2650.          0.1549E-01      0.1907E-01
       2655.          0.1549E-01      0.1903E-01
       2660.          0.1549E-01      0.1898E-01
       2665.          0.1549E-01      0.1894E-01
       2670.          0.1549E-01      0.1890E-01
       2675.          0.1549E-01      0.1886E-01
       2680.          0.1550E-01      0.1882E-01
       2685.          0.1550E-01      0.1878E-01
       2690.          0.1550E-01      0.1874E-01
       2695.          0.1550E-01      0.1870E-01
       2700.          0.1550E-01      0.1866E-01
       2705.          0.1550E-01      0.1862E-01
       2710.          0.1550E-01      0.1858E-01
       2715.          0.1551E-01      0.1854E-01
       2720.          0.1551E-01      0.1850E-01
       2725.          0.1551E-01      0.1846E-01
       2730.          0.1551E-01      0.1842E-01
       2735.          0.1551E-01      0.1838E-01
       2740.          0.1551E-01      0.1834E-01
       2745.          0.1552E-01      0.1830E-01
       2750.          0.1552E-01      0.1826E-01
       2755.          0.1552E-01      0.1822E-01
       2760.          0.1552E-01      0.1818E-01
       2765.          0.1552E-01      0.1814E-01
       2770.          0.1552E-01      0.1810E-01
       2775.          0.1552E-01      0.1806E-01
       2780.          0.1553E-01      0.1802E-01
       2785.          0.1553E-01      0.1797E-01
       2790.          0.1553E-01      0.1793E-01
       2795.          0.1553E-01      0.1789E-01
       2800.          0.1553E-01      0.1785E-01
       2805.          0.1553E-01      0.1781E-01
       2810.          0.1554E-01      0.1777E-01
       2815.          0.1554E-01      0.1773E-01
       2820.          0.1554E-01      0.1769E-01
       2825.          0.1554E-01      0.1765E-01
       2830.          0.1554E-01      0.1761E-01
       2835.          0.1554E-01      0.1757E-01
       2840.          0.1554E-01      0.1753E-01
       2845.          0.1555E-01      0.1749E-01
       2850.          0.1555E-01      0.1745E-01
       2855.          0.1555E-01      0.1741E-01
       2860.          0.1555E-01      0.1737E-01
       2865.          0.1555E-01      0.1733E-01
       2870.          0.1555E-01      0.1729E-01
       2875.          0.1556E-01      0.1725E-01
       2880.          0.1556E-01      0.1721E-01
       2885.          0.1556E-01      0.1717E-01
       2890.          0.1556E-01      0.1713E-01
       2895.          0.1556E-01      0.1709E-01
       2900.          0.1556E-01      0.1705E-01
       2905.          0.1557E-01      0.1701E-01
       2910.          0.1557E-01      0.1696E-01
       2915.          0.1557E-01      0.1692E-01
       2920.          0.1557E-01      0.1688E-01
       2925.          0.1557E-01      0.1684E-01
       2930.          0.1557E-01      0.1680E-01
       2935.          0.1557E-01      0.1676E-01
       2940.          0.1558E-01      0.1672E-01
       2945.          0.1558E-01      0.1668E-01
       2950.          0.1558E-01      0.1664E-01
       2955.          0.1558E-01      0.1660E-01
       2960.          0.1558E-01      0.1656E-01
       2965.          0.1558E-01      0.1652E-01
       2970.          0.1559E-01      0.1648E-01
       2975.          0.1559E-01      0.1644E-01
       2980.          0.1559E-01      0.1640E-01
       2985.          0.1559E-01      0.1636E-01
       2990.          0.1559E-01      0.1632E-01
       2995.          0.1559E-01      0.1628E-01
       3000.          0.1559E-01      0.1624E-01
