# CMS, CMS-PAS-HIG-18-005, Fig. 5a
# 180051_CMS_gg-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       412.0          0.1524          0.1308    
       413.0          0.1481          0.1307    
       414.0          0.1437          0.1307    
       415.0          0.1393          0.1306    
       416.0          0.1349          0.1305    
       417.0          0.1306          0.1304    
       418.0          0.1269          0.1303    
       419.0          0.1232          0.1302    
       420.0          0.1195          0.1301    
       421.0          0.1158          0.1300    
       422.0          0.1121          0.1299    
       423.0          0.1084          0.1293    
       424.0          0.1047          0.1287    
       425.0          0.1010          0.1281    
       426.0          0.9728E-01      0.1275    
       427.0          0.9358E-01      0.1269    
       428.0          0.8988E-01      0.1263    
       429.0          0.8867E-01      0.1256    
       430.0          0.8747E-01      0.1250    
       431.0          0.8626E-01      0.1244    
       432.0          0.8505E-01      0.1238    
       433.0          0.8384E-01      0.1232    
       434.0          0.8263E-01      0.1221    
       435.0          0.8143E-01      0.1210    
       436.0          0.8022E-01      0.1199    
       437.0          0.7901E-01      0.1189    
       438.0          0.7780E-01      0.1178    
       439.0          0.7659E-01      0.1167    
       440.0          0.7622E-01      0.1156    
       441.0          0.7585E-01      0.1145    
       442.0          0.7548E-01      0.1134    
       443.0          0.7511E-01      0.1123    
       444.0          0.7474E-01      0.1113    
       445.0          0.7437E-01      0.1102    
       446.0          0.7400E-01      0.1091    
       447.0          0.7363E-01      0.1080    
       448.0          0.7326E-01      0.1069    
       449.0          0.7289E-01      0.1058    
       450.0          0.7252E-01      0.1048    
       451.0          0.7215E-01      0.1037    
       452.0          0.7178E-01      0.1026    
       453.0          0.7141E-01      0.1015    
       454.0          0.7103E-01      0.1009    
       455.0          0.7066E-01      0.1002    
       456.0          0.7029E-01      0.9958E-01
       457.0          0.6992E-01      0.9894E-01
       458.0          0.6955E-01      0.9830E-01
       459.0          0.6918E-01      0.9765E-01
       460.0          0.6927E-01      0.9701E-01
       461.0          0.6937E-01      0.9637E-01
       462.0          0.6946E-01      0.9573E-01
       463.0          0.6955E-01      0.9509E-01
       464.0          0.6964E-01      0.9445E-01
       465.0          0.6973E-01      0.9381E-01
       466.0          0.6983E-01      0.9317E-01
       467.0          0.6992E-01      0.9253E-01
       468.0          0.7001E-01      0.9188E-01
       469.0          0.7010E-01      0.9124E-01
       470.0          0.7019E-01      0.9033E-01
       471.0          0.7094E-01      0.8942E-01
       472.0          0.7169E-01      0.8851E-01
       473.0          0.7244E-01      0.8759E-01
       474.0          0.7318E-01      0.8668E-01
       475.0          0.7393E-01      0.8577E-01
       476.0          0.7468E-01      0.8486E-01
       477.0          0.7543E-01      0.8395E-01
       478.0          0.7617E-01      0.8303E-01
       479.0          0.7692E-01      0.8212E-01
       480.0          0.7767E-01      0.8121E-01
       481.0          0.7841E-01      0.8030E-01
       482.0          0.7916E-01      0.7938E-01
       483.0          0.7991E-01      0.7847E-01
       484.0          0.8066E-01      0.7756E-01
       485.0          0.8140E-01      0.7665E-01
       486.0          0.8215E-01      0.7595E-01
       487.0          0.8290E-01      0.7525E-01
       488.0          0.8365E-01      0.7456E-01
       489.0          0.8439E-01      0.7386E-01
       490.0          0.8336E-01      0.7316E-01
       491.0          0.8232E-01      0.7246E-01
       492.0          0.8129E-01      0.7177E-01
       493.0          0.8025E-01      0.7107E-01
       494.0          0.7922E-01      0.7037E-01
       495.0          0.7818E-01      0.6967E-01
       496.0          0.7715E-01      0.6898E-01
       497.0          0.7611E-01      0.6828E-01
       498.0          0.7507E-01      0.6758E-01
       499.0          0.7404E-01      0.6725E-01
       500.0          0.7429E-01      0.6692E-01
       501.0          0.7455E-01      0.6660E-01
       502.0          0.7480E-01      0.6627E-01
       503.0          0.7506E-01      0.6594E-01
       504.0          0.7531E-01      0.6561E-01
       505.0          0.7557E-01      0.6528E-01
       506.0          0.7582E-01      0.6495E-01
       507.0          0.7607E-01      0.6463E-01
       508.0          0.7633E-01      0.6430E-01
       509.0          0.7658E-01      0.6397E-01
       510.0          0.7684E-01      0.6364E-01
       511.0          0.7709E-01      0.6331E-01
       512.0          0.7735E-01      0.6298E-01
       513.0          0.7760E-01      0.6266E-01
       514.0          0.7785E-01      0.6233E-01
       515.0          0.7811E-01      0.6200E-01
       516.0          0.7836E-01      0.6167E-01
       517.0          0.7862E-01      0.6134E-01
       518.0          0.7887E-01      0.6102E-01
       519.0          0.7913E-01      0.6069E-01
       520.0          0.7938E-01      0.6036E-01
       521.0          0.7964E-01      0.6004E-01
       522.0          0.7989E-01      0.5971E-01
       523.0          0.8014E-01      0.5938E-01
       524.0          0.8040E-01      0.5906E-01
       525.0          0.7890E-01      0.5873E-01
       526.0          0.7739E-01      0.5840E-01
       527.0          0.7589E-01      0.5807E-01
       528.0          0.7439E-01      0.5775E-01
       529.0          0.7288E-01      0.5742E-01
       530.0          0.7138E-01      0.5709E-01
       531.0          0.6987E-01      0.5677E-01
       532.0          0.6837E-01      0.5644E-01
