74.3542 178.345 90 1 10.2179 15.8844 77.1131 2.07206 0.0108748 0.627116 0.0924414 0.000495753 0.0810103
72.0959 150.415 90 2 14.3333 13.5885 17.6799 5.2085 0.0883406 2.51462 0.0929503 0.026346 0.0957347
78.0535 141.856 90 3 13.2087 14.3683 9.62003 8.38262 0.185975 5.63254 0.09503 0.0531161 0.0970798
81.9657 137.665 90 4 14.7474 15.3651 10.2354 12.6142 0.275035 9.95685 0.0965319 0.0660675 0.0977835
84.3332 135.331 90 5 18.4436 16.167 14.2429 18.0324 0.345433 15.4635 0.0976817 0.0731613 0.098425
85.8231 133.911 90 6 23.8246 16.766 20.3202 24.6261 0.397993 22.129 0.0986499 0.0775193 0.0990657
86.8074 132.991 90 7 30.6304 17.2064 27.9982 32.3688 0.436391 29.9299 0.0995203 0.0804941 0.0997144
87.4868 132.365 90 8 38.7277 17.5299 37.0669 41.2329 0.464264 38.8436 0.100335 0.0827101 0.100371
87.9734 131.923 90 9 48.0418 17.7751 47.4141 51.1925 0.484479 48.8479 0.101118 0.0844797 0.101036
88.3331 131.601 90 10 58.4752 17.9584 58.97 62.2224 0.499126 59.9208 0.10188 0.0859716 0.101709
88.606 131.36 90 11 69.9644 18.0992 71.685 74.3006 0.509691 72.0407 0.102631 0.0872829 0.102387
88.8178 131.176 90 12 82.5236 18.2074 85.5216 87.4036 0.517226 85.1873 0.103375 0.0884724 0.103072
88.9855 131.032 90 13 96.0672 18.2954 100.447 101.51 0.522484 99.3391 0.104115 0.0895776 0.103764
89.1204 130.92 90 14 110.628 18.3623 116.432 116.6 0.526009 114.475 0.104854 0.0906231 0.10446
89.2306 130.83 90 15 126.113 18.4163 133.455 132.651 0.528198 130.578 0.105593 0.0916257 0.105163
89.3217 130.758 90 16 142.533 18.4586 151.49 149.645 0.529342 147.627 0.106334 0.0925973 0.105871
89.3979 130.7 90 17 159.818 18.4934 170.513 167.562 0.529664 165.602 0.107076 0.0935462 0.106585
89.4623 130.652 90 18 178.061 18.5216 190.505 186.384 0.529332 184.487 0.107822 0.0944787 0.107304
89.5172 130.614 90 19 197.077 18.5438 211.445 206.092 0.528473 204.261 0.108571 0.0953993 0.108029
89.5643 130.583 90 20 217.075 18.5605 233.312 226.669 0.52719 224.907 0.109324 0.0963118 0.10876
89.6052 130.557 90 21 237.705 18.5722 256.088 248.095 0.525559 246.408 0.110081 0.0972187 0.109495
89.6407 130.537 90 22 259.335 18.5821 279.75 270.355 0.523648 268.744 0.110842 0.0981222 0.110237
89.6719 130.521 90 23 281.703 18.5908 304.288 293.429 0.521504 291.903 0.111608 0.0990241 0.110984
89.6993 130.508 90 24 304.793 18.5951 329.675 317.305 0.519167 315.864 0.112379 0.0999257 0.111736
89.7236 130.498 90 25 328.761 18.5985 355.9 341.965 0.516674 340.613 0.113155 0.100828 0.112495
89.7452 130.492 90 26 353.241 18.601 382.942 367.391 0.514049 366.133 0.113935 0.101732 0.113258
89.7644 130.487 90 27 378.793 18.5997 410.786 393.569 0.511318 392.409 0.114721 0.102639 0.114028
89.7816 130.484 90 28 404.824 18.6009 439.415 420.485 0.508497 419.425 0.115513 0.103549 0.114803
89.797 130.483 90 29 431.505 18.5985 468.813 448.121 0.505602 447.167 0.11631 0.104462 0.115584
89.8109 130.484 90 30 459.074 18.5956 498.963 476.468 0.50265 475.617 0.117112 0.105379 0.116371
89.8234 130.486 90 31 487.291 18.5892 529.851 505.507 0.499648 504.764 0.11792 0.106302 0.117164
89.8346 130.489 90 32 516.141 18.5855 561.464 535.223 0.496609 534.594 0.118734 0.107228 0.117963
89.8448 130.494 90 33 545.61 18.5817 593.781 565.605 0.49354 565.089 0.119554 0.108161 0.118768
89.854 130.499 90 34 575.685 18.5744 626.793 596.642 0.490447 596.24 0.120379 0.109098 0.119579
89.8623 130.506 90 35 606.348 18.5668 660.484 628.314 0.487339 628.031 0.121211 0.110041 0.120395
89.8698 130.513 90 36 637.592 18.5623 694.838 660.618 0.484218 660.448 0.122048 0.11099 0.121218
89.8766 130.521 90 37 669.394 18.5544 729.843 693.531 0.481091 693.479 0.122892 0.111945 0.122048
89.8827 130.53 90 38 702.128 18.5464 765.488 727.048 0.477962 727.114 0.123742 0.112906 0.122883
89.8883 130.54 90 39 735.034 18.5383 801.753 761.153 0.474833 761.334 0.124599 0.113873 0.123725
89.8932 130.55 90 40 768.881 18.5301 838.633 795.837 0.471708 796.134 0.125462 0.114847 0.124573
89.8976 130.561 90 41 802.838 18.5218 876.107 831.083 0.468589 831.495 0.126331 0.115828 0.125428
89.9015 130.572 90 42 837.75 18.5134 914.169 866.889 0.465479 867.411 0.127207 0.116814 0.126289
89.905 130.584 90 43 873.183 18.505 952.803 903.235 0.462379 903.866 0.128089 0.117808 0.127156
89.908 130.597 90 44 908.643 18.4934 992.001 940.12 0.459293 940.855 0.128978 0.118808 0.128031
89.9106 130.61 90 45 945.073 18.4848 1031.75 977.523 0.45622 978.359 0.129874 0.119815 0.128912
89.9129 130.623 90 46 981.996 18.4762 1072.03 1015.44 0.453164 1016.37 0.130776 0.120829 0.129799
89.9148 130.637 90 47 1019.4 18.4646 1112.84 1053.86 0.450124 1054.88 0.131686 0.12185 0.130694
89.9163 130.651 90 48 1056.7 18.4559 1154.17 1092.77 0.447102 1093.88 0.132602 0.122878 0.131595
89.9175 130.666 90 49 1095.01 18.4442 1196 1132.16 0.444099 1133.35 0.133526 0.123913 0.132503
89.9183 130.681 90 50 1133.78 18.4356 1238.32 1172.03 0.441115 1173.29 0.134457 0.124954 0.133418
