m_h	m_H	m_A	tb	xs_gg_h	xs_gg_H	xs_gg_A	xs_bb_h	xs_bb_H	xs_bb_A	br_h_tautau	br_H_tautau	br_A_tautau
64.3574	249.895	80.0	0.5	5.2137647	19.764177	442.65894	2.272476	3.155645e-05	0.16492356	0.0927499	4.15463e-07	0.0256091
73.9008	195.724	80.0	0.7	4.161304	22.107988	223.08147	1.7980534	0.0007411912	0.39654905	0.0951553	2.31591e-06	0.0572942
69.8908	172.641	80.0	0.8999999999999999	10.454064	21.424162	132.65875	2.4535925	0.007040223	0.70366365	0.0932634	7.57742e-05	0.0783
67.5642	166.015	80.0	1.0	13.77052	20.800585	106.44021	2.9184184	0.012557656	0.8853305	0.0924189	0.000237499	0.084182
63.2289	142.221	80.0	2.0	26.004002	17.825659	25.785015	8.120286	0.09933033	3.7126493	0.0929307	0.0143829	0.0971578
68.249	134.796	80.0	3.0	27.05069	18.75682	16.790895	13.259149	0.19166379	8.310807	0.0964228	0.0601548	0.0988632
71.6611	131.217	80.0	4.0	32.420673	19.850529	20.426712	19.851604	0.263171	14.583865	0.0993005	0.0714967	0.100387
73.7162	129.257	80.0	5.0	41.6005	20.670258	29.284159	28.096998	0.31012782	22.439816	0.10176	0.0778514	0.102019
74.9993	128.085	80.0	6.0	53.78536	21.248657	41.43586	37.94007	0.33920917	31.791368	0.104012	0.08195	0.103736
75.8413	127.337	80.0	7.0	68.49714	21.647266	56.155567	49.28699	0.35565475	42.55584	0.106159	0.0848151	0.105514
76.4195	126.835	80.0	8.0	85.43162	21.92225	73.06686	62.05328	0.3634611	54.654907	0.108251	0.0869231	0.107338
76.8319	126.484	80.0	9.0	104.37266	22.111725	91.936806	76.157104	0.36570618	68.01438	0.110316	0.0885061	0.109199
77.1357	126.231	80.0	10.0	125.15363	22.240934	112.60115	91.5222	0.36354935	82.56398	0.112368	0.0896917	0.11109
77.8862	125.641	80.0	15.0	252.36023	22.422749	238.72964	184.91028	0.333013	170.94972	0.122655	0.0916857	0.120916
78.1567	125.464	80.0	20.0	409.94077	22.297747	394.90753	300.6749	0.29198533	280.43564	0.133192	0.0894904	0.131247
78.2796	125.409	80.0	25.0	589.1575	22.088549	572.8405	433.01837	0.2526057	405.50815	0.144064	0.0844518	0.142028
78.3426	125.4	80.0	30.0	783.53564	21.86099	766.2813	577.45233	0.21741603	541.90424	0.155294	0.0769452	0.153235
78.3768	125.412	80.0	35.0	988.1584	21.638863	970.4242	730.49084	0.18669288	686.31274	0.166881	0.0670006	0.164852
78.3951	125.434	80.0	40.0	1199.2634	21.43024	1181.5464	889.4223	0.16018814	836.15424	0.178822	0.0472841	0.176865
78.4044	125.455	80.0	45.0	1414.0304	21.240313	1396.7551	1052.11	0.13749243	989.4155	0.191121	0.0256776	0.189261
78.4058	125.487	80.0	50.0	1630.0056	21.061775	1613.8065	1217.0001	0.11819281	1144.524	0.203721	0.0103237	0.202025
78.4014	125.522	80.0	55.0	1845.5894	20.898703	1830.9547	1382.827	0.10182302	1300.2517	0.216622	0.00192682	0.215142
78.3916	125.56	80.0	60.0	2059.507	20.748434	2046.8491	1548.6617	0.0879665	1455.6418	0.229803	0.000557688	0.228595
65.7768	251.139	85.0	0.5	4.5424056	19.614992	394.8419	2.1376948	2.2349876e-05	0.13772663	0.0932558	3.77493e-07	0.0241801
75.1658	197.455	85.0	0.7	4.2857165	21.26581	199.06349	1.7045393	0.00085638626	0.32991865	0.0953862	3.26453e-06	0.0556631
71.2302	174.52	85.0	0.8999999999999999	10.708112	21.081644	118.40067	2.3040724	0.007517059	0.58472115	0.0934766	0.000119164	0.0776324
68.9947	167.961	85.0	1.0	13.943897	20.039986	94.99275	2.721583	0.013263237	0.73544085	0.092656	0.000569794	0.0839671
65.9934	143.886	85.0	2.0	23.483204	17.074863	22.50577	7.039761	0.10719574	3.081091	0.0935959	0.0243162	0.0982055
71.8302	136.004	85.0	3.0	22.452974	18.087675	13.533523	11.162248	0.21763527	6.895887	0.0972872	0.0638835	0.1
75.7066	132.093	85.0	4.0	25.373524	19.327587	15.477798	16.524462	0.31212804	12.100241	0.100266	0.076126	0.101548
78.048	129.911	85.0	5.0	31.521149	20.29012	21.7493	23.283625	0.37899044	18.61782	0.102786	0.0830402	0.103198
79.5175	128.586	85.0	6.0	40.117558	20.996948	30.649595	31.380945	0.42376617	26.376211	0.10508	0.0876532	0.104933
80.4864	127.731	85.0	7.0	50.72859	21.499878	41.544117	40.73092	0.45117256	35.306805	0.107259	0.0910705	0.106729
81.1545	127.151	85.0	8.0	63.084778	21.858234	54.1229	51.256363	0.46640658	45.34463	0.109381	0.0937827	0.108572
81.6329	126.743	85.0	9.0	76.999794	22.11454	68.19164	62.889744	0.4733305	56.428143	0.111475	0.0960117	0.110451
81.9867	126.446	85.0	10.0	92.33137	22.29811	83.61599	75.56572	0.47394028	68.49902	0.113555	0.0978639	0.112362
82.8724	125.739	85.0	15.0	186.83586	22.643724	177.88823	152.58708	0.4401241	141.82709	0.123992	0.102581	0.122286
83.2035	125.511	85.0	20.0	304.64874	22.583494	294.67996	247.97499	0.38812053	232.66061	0.134685	0.100142	0.13272
83.3602	125.427	85.0	25.0	439.12274	22.37667	427.75073	356.94968	0.3378743	336.42538	0.145711	0.0905976	0.143605
83.4436	125.403	85.0	30.0	585.22845	22.109762	572.42	475.84387	0.29321736	449.5846	0.157086	0.0743952	0.154918
83.4903	125.405	85.0	35.0	739.10754	21.824043	725.09143	601.8141	0.25448415	569.39124	0.168813	0.0526385	0.166641
83.5162	125.421	85.0	40.0	897.807	21.540977	882.9807	732.6455	0.2211837	693.70526	0.180887	0.027816	0.178761
83.5296	125.443	85.0	45.0	1059.0879	21.27192	1043.9255	866.60547	0.19268458	820.8565	0.193301	0.00446567	0.191264
83.5348	125.466	85.0	50.0	1221.2545	21.025093	1206.245	1002.3357	0.16837008	949.5402	0.20605	0.00185362	0.204134
83.532	125.499	85.0	55.0	1382.8605	20.79549	1368.6375	1138.8763	0.14769375	1078.7377	0.219078	0.021178	0.217357
83.5232	125.537	85.0	60.0	1543.0225	20.585903	1530.0916	1275.4232	0.13007401	1207.6552	0.232383	0.059249	0.230914
67.2261	252.427	90.0	0.5	3.9476714	19.459274	354.14932	2.009927	1.4540941e-05	0.11588196	0.0937604	3.39738e-07	0.0228211
76.4372	199.216	90.0	0.7	4.4603515	21.785254	178.629	1.6158308	0.0009788506	0.27657032	0.095604	4.81768e-06	0.0539803
72.5555	176.521	90.0	0.8999999999999999	11.0239	20.27762	106.28761	2.1652336	0.007978766	0.48958388	0.0936694	0.000299078	0.0768269
70.4018	170.028	90.0	1.0	14.203099	19.291903	85.2744	2.540838	0.013931813	0.61558217	0.0928686	0.000619515	0.0836094
68.6432	145.704	90.0	2.0	21.795647	16.282602	19.877115	6.137603	0.11493507	2.5764668	0.0941812	0.035539	0.0991664
75.2635	137.371	90.0	3.0	19.388681	17.336615	11.14927	9.457531	0.24600564	5.7655015	0.0980517	0.067235	0.101058
