m_h	m_H	m_A	tb	xs_gg_h	xs_gg_H	xs_gg_A	xs_bb_h	xs_bb_H	xs_bb_A	br_h_tautau	br_H_tautau	br_A_tautau
61.6251	247.53	70.0	0.5	12.846699	53.93468	1146.4363	5.3359995	0.00022472211	0.51176214	0.0917426	4.90431e-07	0.0286543
71.4178	192.471	70.0	0.7	8.186861	57.868656	578.2703	4.256975	0.0015918507	1.244167	0.0946629	1.06584e-06	0.060302
67.2036	169.109	70.0	0.8999999999999999	20.515024	55.101196	344.6521	5.870096	0.016273607	2.2155669	0.092784	4.08734e-05	0.0791509
64.6684	162.501	70.0	1.0	27.517994	52.996773	277.06354	7.052019	0.029084407	2.7902112	0.0918795	0.000125745	0.0841289
57.4023	139.32	70.0	2.0	67.488686	44.23216	72.58115	22.662079	0.20817767	11.733872	0.0913519	0.00514673	0.0947585
60.7057	132.791	70.0	3.0	84.575066	45.317707	56.302044	39.77465	0.36137387	26.27932	0.0943719	0.00751849	0.0963071
63.2057	129.817	70.0	4.0	111.765	46.84472	75.249374	61.323166	0.45713142	46.123005	0.097025	0.0114643	0.0977828
64.7269	128.246	70.0	5.0	150.0016	47.95672	110.08677	88.016525	0.51229715	70.97387	0.0993454	0.0668708	0.0993751
65.674	127.331	70.0	6.0	197.6897	48.69444	155.73335	119.72166	0.5407485	100.55579	0.101492	0.0701681	0.101053
66.2922	126.759	70.0	7.0	253.736	49.159386	210.1263	156.20135	0.5526215	134.6072	0.103551	0.0723538	0.10279
66.7142	126.382	70.0	8.0	317.3627	49.46726	272.2456	197.2047	0.5550618	172.88033	0.105564	0.0739351	0.104573
67.0137	126.122	70.0	9.0	387.9642	49.659695	341.31824	242.484	0.550466	215.14053	0.107554	0.0751324	0.106391
67.2332	125.937	70.0	10.0	465.05264	49.775326	416.8287	291.80243	0.5416537	261.16547	0.109536	0.0760791	0.108239
67.7714	125.523	70.0	15.0	933.7895	49.812706	876.88556	591.48395	0.47621012	540.7571	0.119508	0.0789516	0.117841
67.9661	125.409	70.0	20.0	1512.4253	49.54337	1446.1443	962.8187	0.4050155	887.0949	0.129765	0.0802397	0.127942
68.0565	125.382	70.0	25.0	2170.146	49.213226	2094.657	1387.1339	0.3401407	1282.7379	0.140372	0.0802582	0.138488
68.1042	125.386	70.0	30.0	2883.5872	48.879395	2799.6733	1850.0356	0.2837655	1714.2008	0.15134	0.0787995	0.149455
68.1307	125.405	70.0	35.0	3634.8484	48.560818	3543.7021	2340.3777	0.23565991	2171.0095	0.162669	0.0660064	0.160831
68.1454	125.427	70.0	40.0	4410.2993	48.266666	4313.173	2849.466	0.195018	2645.0044	0.17436	0.0506634	0.172601
68.1515	125.457	70.0	45.0	5198.7783	47.98857	5097.5493	3370.727	0.16096628	3129.8171	0.186374	0.0369079	0.184754
68.1512	125.49	70.0	50.0	5992.3374	47.7302	5888.6323	3898.9834	0.13262	3620.473	0.198705	0.0251424	0.197276
68.1452	125.526	70.0	55.0	6784.78	47.48741	6680.061	4430.33	0.10915296	4113.088	0.211337	0.0155721	0.210153
68.1337	125.565	70.0	60.0	7571.5186	47.26142	7466.909	4961.8623	0.08978168	4604.635	0.224246	0.00829625	0.223368
62.9718	248.681	75.0	0.5	11.312277	53.620953	1021.6024	5.0427356	0.00018342213	0.42276537	0.0922446	4.53331e-07	0.0271034
72.6489	194.055	75.0	0.7	8.284501	56.76402	515.3332	4.0495167	0.0018795526	1.0268219	0.0949134	1.63274e-06	0.0588501
68.5456	170.821	75.0	0.8999999999999999	20.832884	53.64847	307.0051	5.527591	0.017558573	1.8279705	0.0930316	5.45719e-05	0.0788127
66.1188	164.192	75.0	1.0	27.597229	51.9974	246.64413	6.5893197	0.031072266	2.3018982	0.0921592	0.000164242	0.0842412
60.3609	140.702	75.0	2.0	58.11648	42.871166	62.152275	19.561085	0.22744358	9.677997	0.0921834	0.00841573	0.096013
64.5357	133.73	75.0	3.0	66.25865	44.20766	43.808723	33.262196	0.41301516	21.674047	0.0954533	0.0155677	0.0976366
67.4887	130.464	75.0	4.0	83.57485	46.073868	55.448204	50.71523	0.5404419	38.039707	0.0982234	0.0666002	0.0991365
69.2705	128.708	75.0	5.0	109.89611	47.468655	79.955635	72.44809	0.61894345	58.53493	0.100617	0.0724104	0.100749
70.3797	127.673	75.0	6.0	143.61736	48.422028	112.84045	98.31614	0.6633913	82.932	0.102819	0.0760483	0.102447
71.1048	127.019	75.0	7.0	183.69003	49.061394	152.33952	128.09492	0.6853698	111.01518	0.104923	0.0785087	0.104206
71.6007	126.584	75.0	8.0	229.46797	49.487774	197.5767	161.57942	0.6934155	142.58014	0.106977	0.0802646	0.10601
71.9531	126.283	75.0	9.0	280.43082	49.769073	248.01733	198.56355	0.6931416	177.43335	0.109005	0.0815611	0.10785
72.2116	126.068	75.0	10.0	336.17624	49.950047	303.208	238.8523	0.6858031	215.39145	0.111022	0.082539	0.109721
72.8448	125.576	75.0	15.0	676.0359	50.116875	639.71576	483.73672	0.6146676	445.97876	0.121147	0.0848585	0.11944
73.0712	125.436	75.0	20.0	1096.0765	49.838406	1056.2518	787.2847	0.5312034	731.61365	0.13154	0.0850002	0.129661
73.1746	125.397	75.0	25.0	1573.6133	49.461525	1530.7795	1134.2283	0.4532618	1057.9119	0.142279	0.0836743	0.140329
73.2283	125.396	75.0	30.0	2091.615	49.07366	2046.6656	1512.7784	0.384414	1413.752	0.15338	0.0808232	0.151421
73.2578	125.413	75.0	35.0	2637.0498	48.700638	2591.0923	1913.8015	0.32492083	1790.4952	0.164842	0.0733802	0.162922
73.274	125.435	75.0	40.0	3199.933	48.3544	3154.1292	2330.1938	0.27409488	2181.4126	0.17666	0.0535615	0.17482
73.2817	125.46	75.0	45.0	3772.532	48.03599	3728.062	2756.4353	0.23101993	2581.2517	0.188824	0.036392	0.187099
73.2823	125.493	75.0	50.0	4348.57	47.737453	4306.9	3188.3997	0.19475092	2985.91	0.201296	0.0222301	0.199748
73.2773	125.528	75.0	55.0	4923.68	47.458893	4885.9863	3622.816	0.16435897	3392.1836	0.214068	0.0114893	0.21275
73.2669	125.566	75.0	60.0	5494.474	47.201973	5461.718	4057.2717	0.1389437	3797.577	0.227119	0.00431584	0.22609
64.3574	249.895	80.0	0.5	9.919316	53.300625	916.26605	4.762052	0.00014496528	0.35178587	0.0927499	4.15463e-07	0.0256091
73.9008	195.724	80.0	0.7	8.492235	55.623753	462.3128	3.8504097	0.0021921017	0.85477	0.0951553	2.31591e-06	0.0572942
69.8908	172.641	80.0	0.8999999999999999	21.305061	52.16791	275.379	5.205468	0.018865593	1.5218754	0.0932634	7.57742e-05	0.0783
67.5642	166.015	80.0	1.0	27.895004	50.154167	221.16687	6.1593537	0.03304765	1.9165094	0.0924189	0.000237499	0.084182
63.2289	142.221	80.0	2.0	52.480137	41.3445	54.121532	16.970898	0.24748997	8.058507	0.0929307	0.0143829	0.0971578
68.249	134.796	80.0	3.0	53.759598	42.924103	34.991844	28.034208	0.47028044	18.047491	0.0964228	0.0601548	0.0988632
71.6611	131.217	80.0	4.0	64.32428	45.128056	41.76583	42.302532	0.64100593	31.675003	0.0993005	0.0714967	0.100387
73.7162	129.257	80.0	5.0	82.40759	46.820263	59.161133	60.15872	0.7526708	48.74116	0.10176	0.0778514	0.102019
74.9993	128.085	80.0	6.0	106.45242	48.027058	83.181694	81.47528	0.8212454	69.056335	0.104012	0.08195	0.103736
75.8413	127.337	80.0	7.0	135.48216	48.862885	112.36623	106.04929	0.85961795	92.4409	0.106159	0.0848151	0.105514
76.4195	126.835	80.0	8.0	168.92197	49.441788	145.89462	133.69705	0.8776863	118.72472	0.108251	0.0869231	0.107338
76.8319	126.484	80.0	9.0	206.3383	49.842125	183.33186	164.24127	0.8828427	147.74661	0.110316	0.0885061	0.109199
77.1357	126.231	80.0	10.0	247.3993	50.11621	224.35071	197.51665	0.87966084	179.35391	0.112368	0.0896917	0.11109
77.8862	125.641	80.0	15.0	498.78952	50.509216	474.84613	399.75378	0.8026155	371.3615	0.122655	0.0916857	0.120916
78.1567	125.464	80.0	20.0	810.2445	50.252373	785.03107	650.4302	0.7034514	609.20667	0.133192	0.0894904	0.131247
78.2796	125.409	80.0	25.0	1164.4552	49.814865	1138.4196	936.98676	0.6089551	880.91174	0.144064	0.0844518	0.142028
78.3426	125.4	80.0	30.0	1548.6115	49.340546	1522.6057	1249.7028	0.5243475	1177.216	0.155294	0.0769452	0.153235
78.3768	125.412	80.0	35.0	1952.9875	48.875286	1928.0427	1581.0294	0.45041218	1490.9261	0.166881	0.0670006	0.164852
