mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
89  0.0  0.0  4.08509277083  0.0430561797753  0.0  0.0  4.1281489506
90  0.0  0.0  3.95840958643  0.0418128950159  0.0  0.0  4.00022248144
91  0.0  0.0  3.8325134037  0.0409208826182  0.0  0.0  3.87343428632
92  0.0  0.0  3.71812981004  0.03990172981  0.0  0.0  3.75803153985
93  0.0  0.0  3.60162733691  0.0389354848983  0.0  0.0  3.64056282181
94  0.0  0.0  3.49259930969  0.0379227697536  0.0  0.0  3.53052207944
95  0.0  0.0  3.38644287915  0.0371501620186  0.0  0.0  3.42359304117
96  0.0  0.0  3.28354346601  0.0361663708349  0.0  0.0  3.31970983685
97  0.0  0.0  3.18452016588  0.0355175288426  0.0  0.0  3.22003769472
98  0.0  0.0  3.08807667677  0.034516238498  0.0  0.0  3.12259291527
99  0.0  0.0  2.99720713031  0.0337618900654  0.0  0.0  3.03096902038
100  0.0  0.0  2.91011661432  0.0330279904179  0.0  0.0  2.94314460474
101  0.0  0.0  2.82739082198  0.0322328471039  0.0  0.0  2.85962366908
102  0.0  0.0  2.74326909439  0.0315677048395  0.0  0.0  2.77483679923
103  0.0  0.0  2.6658678309  0.0309144287083  0.0  0.0  2.69678225961
104  0.0  0.0  2.59029053831  0.0301496405942  0.0  0.0  2.6204401789
105  0.0  0.0  2.51319610224  0.0295531309904  0.0  0.0  2.54274923323
106  0.0  0.0  2.44260844965  0.028830335642  0.0  0.0  2.4714387853
107  0.0  0.0  2.37445030917  0.0283604051173  0.0  0.0  2.40281071429
108  0.0  0.0  2.30700244267  0.0276576426667  0.0  0.0  2.33466008533
109  0.0  0.0  2.24386407684  0.0269343329776  0.0  0.0  2.27079840982
110  0.0  0.0  2.18301042178  0.0262689054992  0.0  0.0  2.20927932728
111  0.0  0.0  2.12499462549  0.0258629233893  0.0  0.0  2.15085754888
112  0.0  0.0  2.06668475356  0.0253033037528  0.0  0.0  2.09198805731
113  0.0  0.0  2.00989981812  0.0248579544239  0.0  0.0  2.03475777255
114  0.0  0.0  1.95626832245  0.0242072583235  0.0  0.0  1.98047558077
115  0.0  0.0  1.90518109266  0.0237944188538  0.0  0.0  1.92897551152
116  0.0  0.0  1.85227481914  0.0232981833771  0.0  0.0  1.87557300252
117  0.0  0.0  1.80349635428  0.0227763457002  0.0  0.0  1.82627269998
118  0.0  0.0  1.75653170627  0.0221920506356  0.0  0.0  1.77872375691
119  0.0  0.0  1.70997560374  0.0217678544596  0.0  0.0  1.73174345819
120  0.0  0.0  1.66482790872  0.021359409396  0.0  0.0  1.68618731812
121  0.0  0.0  1.6232133906  0.0209613530201  0.0  0.0  1.64417474362
122  0.0  0.0  1.58028573423  0.0205515812081  0.0  0.0  1.60083731544
123  0.0  0.0  1.54114986309  0.0200812241611  0.0  0.0  1.56123108725
124  0.0  0.0  1.50178110067  0.0197619865772  0.0  0.0  1.52154308725
125  0.0  0.0  1.46303092617  0.0193451275168  0.0  0.0  1.48237605369
126  0.0  0.0  1.42673892679  0.018829779234  0.0  0.0  1.44556870602
127  0.0  0.0  1.39073350529  0.0186533290343  0.0  0.0  1.40938683433
128  0.0  0.0  1.35648916725  0.0181929896242  0.0  0.0  1.37468215687
129  0.0  0.0  1.32262949497  0.0177812940354  0.0  0.0  1.34041078901
130  0.0  0.0  1.28995029325  0.0175380037665  0.0  0.0  1.30748829701
131  0.0  0.0  1.25921768539  0.0172188917012  0.0  0.0  1.27643657709
132  0.0  0.0  1.22792973643  0.0168615102679  0.0  0.0  1.2447912467
133  0.0  0.0  1.19931161461  0.0165218751686  0.0  0.0  1.21583348978
134  0.0  0.0  1.17012301712  0.0161889206846  0.0  0.0  1.1863119378
135  0.0  0.0  1.14257925966  0.0158618427452  0.0  0.0  1.1584411024
136  0.0  0.0  1.11450519656  0.0156253501325  0.0  0.0  1.13013054669
137  0.0  0.0  1.08866759374  0.0152890428007  0.0  0.0  1.10395663655
138  0.0  0.0  1.06314669338  0.0150264356489  0.0  0.0  1.07817312903
139  0.0  0.0  1.03877312998  0.0147748128081  0.0  0.0  1.05354794279
140  0.0  0.0  1.01493325671  0.0144952550827  0.0  0.0  1.02942851179
141  0.0  0.0  0.990971947488  0.0140163306933  0.0  0.0  1.00498827818
142  0.0  0.0  0.967862798676  0.0139998881832  0.0  0.0  0.981862686859
143  0.0  0.0  0.945359928308  0.0137444286335  0.0  0.0  0.959104356941
144  0.0  0.0  0.923683516113  0.0134700885821  0.0  0.0  0.937153604695
145  0.0  0.0  0.903023023382  0.0130967395324  0.0  0.0  0.916119762915
146  0.0  0.0  0.882863469977  0.0129783069302  0.0  0.0  0.895841776907
147  0.0  0.0  0.8629505799  0.0126571386527  0.0  0.0  0.875607718552
148  0.0  0.0  0.843014076499  0.0125506651389  0.0  0.0  0.855564741638
149  0.0  0.0  0.824666573801  0.0123372850432  0.0  0.0  0.837003858844
150  0.0  0.0  0.806846479628  0.0121354148209  0.0  0.0  0.818981894449
151  0.0  0.0  0.78885606225  0.011811681736  0.0  0.0  0.800667743986
152  0.0  0.0  0.771801686707  0.0117398901883  0.0  0.0  0.783541576896
153  0.0  0.0  0.755301536007  0.0115196743137  0.0  0.0  0.766821210321
154  0.0  0.0  0.738723050548  0.0114023008654  0.0  0.0  0.750125351414
155  0.0  0.0  0.722358225904  0.0111709262635  0.0  0.0  0.733529152168
156  0.0  0.0  0.707531469673  0.0110116596312  0.0  0.0  0.718543129305
157  0.0  0.0  0.692180557448  0.0109123264257  0.0  0.0  0.703092883874
158  0.0  0.0  0.677425370183  0.0107297944051  0.0  0.0  0.688155164588
159  0.0  0.0  0.66274798486  0.0106519733348  0.0  0.0  0.673399958194
160  0.0  0.0  0.649221807955  0.0104584613636  0.0  0.0  0.659680269318
161  0.0  0.0  0.634837541956  0.0103101915579  0.0  0.0  0.645147733514
162  0.0  0.0  0.621995042149  0.0100252298528  0.0  0.0  0.632020272002
163  0.0  0.0  0.609343946118  0.00977463864513  0.0  0.0  0.619118584763
164  0.0  0.0  0.596488088726  0.00962100845008  0.0  0.0  0.606109097176
165  0.0  0.0  0.584290722698  0.00939578766934  0.0  0.0  0.593686510368
166  0.0  0.0  0.572030356313  0.00926295673343  0.0  0.0  0.581293313046
167  0.0  0.0  0.560480305597  0.00908013397553  0.0  0.0  0.569560439573
168  0.0  0.0  0.549232534899  0.00896852647906  0.0  0.0  0.558201061378
169  0.0  0.0  0.537872074719  0.00877868299983  0.0  0.0  0.546650757719
170  0.0  0.0  0.526861793677  0.00859330116473  0.0  0.0  0.535455094842
171  0.0  0.0  0.516321947295  0.00855577586685  0.0  0.0  0.524877723162
172  0.0  0.0  0.506094340733  0.00831925305216  0.0  0.0  0.514413593785
173  0.0  0.0  0.49593313461  0.00826967305024  0.0  0.0  0.50420280766
174  0.0  0.0  0.486313694614  0.00805076068851  0.0  0.0  0.494364455303
175  0.0  0.0  0.476880863094  0.00796525187448  0.0  0.0  0.484846114968
176  0.0  0.0  0.467148296593  0.00784255511022  0.0  0.0  0.474990851703
177  0.0  0.0  0.458423040786  0.00776507169559  0.0  0.0  0.466188112481
178  0.0  0.0  0.449450290795  0.00766677441002  0.0  0.0  0.457117065205
179  0.0  0.0  0.440590323412  0.00754269155316  0.0  0.0  0.448133014966
180  0.0  0.0  0.43222594382  0.00741908539326  0.0  0.0  0.439645029213
181  0.0  0.0  0.4238804691  0.00729340797134  0.0  0.0  0.431173877071
182  0.0  0.0  0.415762299197  0.00713546742526  0.0  0.0  0.422897766622
183  0.0  0.0  0.408019263006  0.00700837149844  0.0  0.0  0.415027634504
184  0.0  0.0  0.400368626495  0.00684692179885  0.0  0.0  0.407215548294
185  0.0  0.0  0.392754752759  0.00672491280353  0.0  0.0  0.399479665563
186  0.0  0.0  0.385253489322  0.00663286794327  0.0  0.0  0.391886357265
187  0.0  0.0  0.378312166428  0.00650342898135  0.0  0.0  0.384815595409
188  0.0  0.0  0.371093975611  0.00641521823098  0.0  0.0  0.377509193842
189  0.0  0.0  0.364146081439  0.00629477709115  0.0  0.0  0.37044085853
190  0.0  0.0  0.357613645241  0.00619576055172  0.0  0.0  0.363809405793
191  0.0  0.0  0.350690894147  0.00612876937503  0.0  0.0  0.356819663523
192  0.0  0.0  0.344442166216  0.00600748249049  0.0  0.0  0.350449648707
193  0.0  0.0  0.338080127915  0.00594282626675  0.0  0.0  0.344022954182
194  0.0  0.0  0.331791008213  0.00581012402844  0.0  0.0  0.337601132242
195  0.0  0.0  0.325982858088  0.00575010746762  0.0  0.0  0.331732965555
196  0.0  0.0  0.319857599912  0.00566031310292  0.0  0.0  0.325517913015
197  0.0  0.0  0.314393824778  0.00555729834041  0.0  0.0  0.319951123118
198  0.0  0.0  0.308796980092  0.00550962002978  0.0  0.0  0.314306600121
199  0.0  0.0  0.3032547333  0.00538272381268  0.0  0.0  0.308637457113
200  0.0  0.0  0.29789702069  0.00531745213793  0.0  0.0  0.303214472828
201  0.0  0.0  0.293097929199  0.00524494163488  0.0  0.0  0.298342870834
202  0.0  0.0  0.288298837709  0.00517243113183  0.0  0.0  0.293471268841
203  0.0  0.0  0.283499746218  0.00509992062878  0.0  0.0  0.288599666847
204  0.0  0.0  0.278700654728  0.00502741012573  0.0  0.0  0.283728064854
205  0.0  0.0  0.273901563237  0.00495489962268  0.0  0.0  0.27885646286
206  0.0  0.0  0.269102471747  0.00488238911964  0.0  0.0  0.273984860867
207  0.0  0.0  0.264303380256  0.00480987861659  0.0  0.0  0.269113258873
208  0.0  0.0  0.259504288766  0.00473736811354  0.0  0.0  0.26424165688
209  0.0  0.0  0.254705197276  0.00466485761049  0.0  0.0  0.259370054886
210  0.0  0.0  0.249906105785  0.00459234710744  0.0  0.0  0.254498452893
211  0.0  0.0  0.246039895096  0.00452756636145  0.0  0.0  0.250567461458
212  0.0  0.0  0.242173684408  0.00446278561547  0.0  0.0  0.246636470023
213  0.0  0.0  0.238307473719  0.00439800486948  0.0  0.0  0.242705478589
214  0.0  0.0  0.234441263031  0.00433322412349  0.0  0.0  0.238774487154
215  0.0  0.0  0.230575052342  0.00426844337751  0.0  0.0  0.234843495719
216  0.0  0.0  0.226708841653  0.00420366263152  0.0  0.0  0.230912504285
217  0.0  0.0  0.222842630965  0.00413888188554  0.0  0.0  0.22698151285
218  0.0  0.0  0.218976420276  0.00407410113955  0.0  0.0  0.223050521416
219  0.0  0.0  0.215110209587  0.00400932039356  0.0  0.0  0.219119529981
220  0.0  0.0  0.211243998899  0.00394453964758  0.0  0.0  0.215188538546
221  0.0  0.0  0.208055860623  0.00389290171796  0.0  0.0  0.211948762341
222  0.0  0.0  0.204867722348  0.00384126378835  0.0  0.0  0.208708986136
223  0.0  0.0  0.201679584073  0.00378962585874  0.0  0.0  0.205469209931
224  0.0  0.0  0.198491445797  0.00373798792913  0.0  0.0  0.202229433726
225  0.0  0.0  0.195303307522  0.00368634999952  0.0  0.0  0.198989657521
226  0.0  0.0  0.192115169246  0.0036347120699  0.0  0.0  0.195749881316
227  0.0  0.0  0.188927030971  0.00358307414029  0.0  0.0  0.192510105111
228  0.0  0.0  0.185738892696  0.00353143621068  0.0  0.0  0.189270328906
229  0.0  0.0  0.18255075442  0.00347979828107  0.0  0.0  0.186030552701
230  0.0  0.0  0.179362616145  0.00342816035146  0.0  0.0  0.182790776496
231  0.0  0.0  0.176762823174  0.00338642756727  0.0  0.0  0.180149250741
232  0.0  0.0  0.174163030203  0.00334469478309  0.0  0.0  0.177507724986
233  0.0  0.0  0.171563237232  0.0033029619989  0.0  0.0  0.174866199231
234  0.0  0.0  0.168963444261  0.00326122921472  0.0  0.0  0.172224673476
235  0.0  0.0  0.16636365129  0.00321949643053  0.0  0.0  0.169583147721
236  0.0  0.0  0.16376385832  0.00317776364635  0.0  0.0  0.166941621966
237  0.0  0.0  0.161164065349  0.00313603086216  0.0  0.0  0.164300096211
238  0.0  0.0  0.158564272378  0.00309429807798  0.0  0.0  0.161658570456
239  0.0  0.0  0.155964479407  0.00305256529379  0.0  0.0  0.159017044701
