mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
90  0.0  0.0  1.97361297  0.01784627  0.0  0.0  1.99145924
91  0.0  0.0  1.91141725  0.01730973  0.0  0.0  1.92872698
92  0.0  0.0  1.84914364  0.01698128  0.0  0.0  1.86612492
93  0.0  0.0  1.78928629  0.01648974  0.0  0.0  1.80577603
94  0.0  0.0  1.73303097  0.01599796  0.0  0.0  1.74902893
95  0.0  0.0  1.67863315  0.01560763  0.0  0.0  1.69424078
96  0.0  0.0  1.62572126  0.01524412  0.0  0.0  1.64096538
97  0.0  0.0  1.57494014  0.01485678  0.0  0.0  1.58979692
98  0.0  0.0  1.52546855  0.01449318  0.0  0.0  1.53996173
99  0.0  0.0  1.4810358  0.01417896  0.0  0.0  1.49521476
100  0.0  0.0  1.4335464  0.01376742  0.0  0.0  1.44731382
101  0.0  0.0  1.39023857  0.01338009  0.0  0.0  1.40361866
102  0.0  0.0  1.34808171  0.01311798  0.0  0.0  1.36119969
103  0.0  0.0  1.30644212  0.01282281  0.0  0.0  1.31926493
104  0.0  0.0  1.26781272  0.01243589  0.0  0.0  1.28024861
105  0.0  0.0  1.23001767  0.01214628  0.0  0.0  1.24216395
106  0.0  0.0  1.19288544  0.01180037  0.0  0.0  1.20468581
107  0.0  0.0  1.15751322  0.01155581  0.0  0.0  1.16906903
108  0.0  0.0  1.12448749  0.0113352  0.0  0.0  1.13582269
109  0.0  0.0  1.0922334  0.01106177  0.0  0.0  1.10329517
110  0.0  0.0  1.06080704  0.01084392  0.0  0.0  1.07165096
111  0.0  0.0  1.02968479  0.01054637  0.0  0.0  1.04023116
112  0.0  0.0  0.999955672  0.010280008  0.0  0.0  1.01023568
113  0.0  0.0  0.971623845  0.010060265  0.0  0.0  0.98168411
114  0.0  0.0  0.944146608  0.009832737  0.0  0.0  0.953979345
115  0.0  0.0  0.917119224  0.009567  0.0  0.0  0.926686224
116  0.0  0.0  0.89140963  0.009369298  0.0  0.0  0.900778928
117  0.0  0.0  0.866852435  0.009176089  0.0  0.0  0.876028524
118  0.0  0.0  0.842763129  0.008929761  0.0  0.0  0.85169289
119  0.0  0.0  0.81995017  0.008759973  0.0  0.0  0.828710143
120  0.0  0.0  0.79699921  0.008594741  0.0  0.0  0.805593951
121  0.0  0.0  0.775815464  0.008372651  0.0  0.0  0.784188115
122  0.0  0.0  0.7550102  0.00817864  0.0  0.0  0.76318884
123  0.0  0.0  0.735276461  0.007970525  0.0  0.0  0.743246986
124  0.0  0.0  0.716118429  0.00782332  0.0  0.0  0.723941749
125  0.0  0.0  0.696664264  0.007666043  0.0  0.0  0.704330307
126  0.0  0.0  0.678274247  0.007528733  0.0  0.0  0.68580298
127  0.0  0.0  0.660254438  0.00730887  0.0  0.0  0.667563308
128  0.0  0.0  0.643080748  0.00718348  0.0  0.0  0.650264228
129  0.0  0.0  0.625994187  0.007015202  0.0  0.0  0.633009389
130  0.0  0.0  0.609819632  0.006866469  0.0  0.0  0.616686101
131  0.0  0.0  0.594058651  0.00671706  0.0  0.0  0.600775711
132  0.0  0.0  0.578947303  0.006594619  0.0  0.0  0.585541922
133  0.0  0.0  0.563912957  0.0064219  0.0  0.0  0.570334857
134  0.0  0.0  0.549403254  0.006312986  0.0  0.0  0.55571624
135  0.0  0.0  0.535236544  0.006204564  0.0  0.0  0.541441108
136  0.0  0.0  0.521898478  0.00603961  0.0  0.0  0.527938088
137  0.0  0.0  0.508562101  0.005908257  0.0  0.0  0.514470358
138  0.0  0.0  0.4960034  0.005811526  0.0  0.0  0.501814926
139  0.0  0.0  0.483448022  0.005689483  0.0  0.0  0.489137505
140  0.0  0.0  0.471370268  0.005561922  0.0  0.0  0.47693219
141  0.0  0.0  0.459857992  0.005473212  0.0  0.0  0.465331204
142  0.0  0.0  0.448777004  0.005351158  0.0  0.0  0.454128162
143  0.0  0.0  0.437504889  0.00523333  0.0  0.0  0.442738219
144  0.0  0.0  0.426861184  0.005125863  0.0  0.0  0.431987047
145  0.0  0.0  0.416585443  0.004992657  0.0  0.0  0.4215781
146  0.0  0.0  0.406192621  0.004923505  0.0  0.0  0.411116126
147  0.0  0.0  0.3965162  0.004840203  0.0  0.0  0.401356403
148  0.0  0.0  0.386569386  0.004742519  0.0  0.0  0.391311905
149  0.0  0.0  0.377512771  0.004602869  0.0  0.0  0.38211564
150  0.0  0.0  0.368137663  0.004549042  0.0  0.0  0.372686705
151  0.0  0.0  0.359036086  0.004449242  0.0  0.0  0.363485328
152  0.0  0.0  0.350136968  0.004368734  0.0  0.0  0.354505702
153  0.0  0.0  0.341817915  0.004286061  0.0  0.0  0.346103976
154  0.0  0.0  0.333432264  0.004195426  0.0  0.0  0.33762769
155  0.0  0.0  0.325292381  0.004128489  0.0  0.0  0.32942087
156  0.0  0.0  0.316166315  0.004053154  0.0  0.0  0.320219469
157  0.0  0.0  0.307167697  0.003969989  0.0  0.0  0.311137686
158  0.0  0.0  0.298419898  0.00387699  0.0  0.0  0.302296888
159  0.0  0.0  0.290053183  0.003832307  0.0  0.0  0.29388549
160  0.0  0.0  0.281690954  0.003736671  0.0  0.0  0.285427625
161  0.0  0.0  0.277231467  0.003673932  0.0  0.0  0.280905399
162  0.0  0.0  0.27283791  0.0036072  0.0  0.0  0.27644511
163  0.0  0.0  0.268339535  0.003534442  0.0  0.0  0.271873977
164  0.0  0.0  0.263914398  0.003461278  0.0  0.0  0.267375676
165  0.0  0.0  0.259657887  0.003408853  0.0  0.0  0.26306674
166  0.0  0.0  0.254139984  0.003334177  0.0  0.0  0.257474161
167  0.0  0.0  0.248629067  0.003271167  0.0  0.0  0.251900234
168  0.0  0.0  0.243338577  0.003207028  0.0  0.0  0.246545605
169  0.0  0.0  0.238085711  0.003169456  0.0  0.0  0.241255167
170  0.0  0.0  0.233100947  0.00309951  0.0  0.0  0.236200457
171  0.0  0.0  0.228155192  0.003045492  0.0  0.0  0.231200684
172  0.0  0.0  0.223145868  0.002998928  0.0  0.0  0.226144796
173  0.0  0.0  0.218309232  0.002945432  0.0  0.0  0.221254664
174  0.0  0.0  0.213675595  0.002888026  0.0  0.0  0.216563621
175  0.0  0.0  0.209048416  0.002845251  0.0  0.0  0.211893667
176  0.0  0.0  0.204723329  0.002786819  0.0  0.0  0.207510148
177  0.0  0.0  0.200556765  0.002745903  0.0  0.0  0.203302668
178  0.0  0.0  0.196377872  0.002699118  0.0  0.0  0.19907699
179  0.0  0.0  0.192393058  0.002640781  0.0  0.0  0.195033839
180  0.0  0.0  0.188482718  0.002596229  0.0  0.0  0.191078947
181  0.0  0.0  0.185003007  0.002536933  0.0  0.0  0.18753994
182  0.0  0.0  0.181605157  0.002510809  0.0  0.0  0.184115966
183  0.0  0.0  0.178190266  0.002473552  0.0  0.0  0.180663818
184  0.0  0.0  0.175002264  0.002421486  0.0  0.0  0.17742375
185  0.0  0.0  0.171717737  0.002383911  0.0  0.0  0.174101648
186  0.0  0.0  0.168355006  0.002338273  0.0  0.0  0.170693279
187  0.0  0.0  0.165119337  0.002287917  0.0  0.0  0.167407254
188  0.0  0.0  0.162009443  0.002258256  0.0  0.0  0.164267699
189  0.0  0.0  0.158841891  0.002219251  0.0  0.0  0.161061142
190  0.0  0.0  0.155775264  0.002167923  0.0  0.0  0.157943187
191  0.0  0.0  0.152788245  0.002145973  0.0  0.0  0.154934218
192  0.0  0.0  0.149926963  0.002112965  0.0  0.0  0.152039928
193  0.0  0.0  0.147104759  0.002066127  0.0  0.0  0.149170886
194  0.0  0.0  0.144340806  0.002039965  0.0  0.0  0.146380771
195  0.0  0.0  0.141620258  0.002005905  0.0  0.0  0.143626163
196  0.0  0.0  0.138946055  0.001972362  0.0  0.0  0.140918417
197  0.0  0.0  0.136316295  0.001938899  0.0  0.0  0.138255194
198  0.0  0.0  0.133686054  0.001903742  0.0  0.0  0.135589796
199  0.0  0.0  0.131149728  0.001875685  0.0  0.0  0.133025413
200  0.0  0.0  0.128710051  0.001849202  0.0  0.0  0.130559253
201  0.0  0.0  0.1265463295  0.0018203506  0.0  0.0  0.1283666801
202  0.0  0.0  0.124382608  0.0017914992  0.0  0.0  0.1261741072
203  0.0  0.0  0.1222188865  0.0017626478  0.0  0.0  0.1239815343
204  0.0  0.0  0.120055165  0.0017337964  0.0  0.0  0.1217889614
205  0.0  0.0  0.1178914435  0.001704945  0.0  0.0  0.1195963885
206  0.0  0.0  0.115727722  0.0016760936  0.0  0.0  0.1174038156
207  0.0  0.0  0.1135640005  0.0016472422  0.0  0.0  0.1152112427
208  0.0  0.0  0.111400279  0.0016183908  0.0  0.0  0.1130186698
209  0.0  0.0  0.1092365575  0.0015895394  0.0  0.0  0.1108260969
210  0.0  0.0  0.107072836  0.001560688  0.0  0.0  0.108633524
211  0.0  0.0  0.10533012902  0.00153902124  0.0  0.0  0.10686915026
212  0.0  0.0  0.10358742204  0.00151735448  0.0  0.0  0.10510477652
213  0.0  0.0  0.10184471506  0.00149568772  0.0  0.0  0.10334040278
214  0.0  0.0  0.10010200808  0.00147402096  0.0  0.0  0.10157602904
215  0.0  0.0  0.0983593011  0.0014523542  0.0  0.0  0.0998116553
216  0.0  0.0  0.09661659412  0.00143068744  0.0  0.0  0.09804728156
217  0.0  0.0  0.09487388714  0.00140902068  0.0  0.0  0.09628290782
218  0.0  0.0  0.09313118016  0.00138735392  0.0  0.0  0.09451853408
219  0.0  0.0  0.09138847318  0.00136568716  0.0  0.0  0.09275416034
220  0.0  0.0  0.0896457662  0.0013440204  0.0  0.0  0.0909897866
221  0.0  0.0  0.08824557711  0.00132457794  0.0  0.0  0.08957015505
222  0.0  0.0  0.08684538802  0.00130513548  0.0  0.0  0.0881505235
223  0.0  0.0  0.08544519893  0.00128569302  0.0  0.0  0.08673089195
224  0.0  0.0  0.08404500984  0.00126625056  0.0  0.0  0.0853112604
225  0.0  0.0  0.08264482075  0.0012468081  0.0  0.0  0.08389162885
226  0.0  0.0  0.08124463166  0.00122736564  0.0  0.0  0.0824719973
227  0.0  0.0  0.07984444257  0.00120792318  0.0  0.0  0.08105236575
228  0.0  0.0  0.07844425348  0.00118848072  0.0  0.0  0.0796327342
229  0.0  0.0  0.07704406439  0.00116903826  0.0  0.0  0.07821310265
230  0.0  0.0  0.0756438753  0.0011495958  0.0  0.0  0.0767934711
231  0.0  0.0  0.07448257255  0.00113336398  0.0  0.0  0.07561593653
232  0.0  0.0  0.0733212698  0.00111713216  0.0  0.0  0.07443840196
233  0.0  0.0  0.07215996705  0.00110090034  0.0  0.0  0.07326086739
234  0.0  0.0  0.0709986643  0.00108466852  0.0  0.0  0.07208333282
235  0.0  0.0  0.06983736155  0.0010684367  0.0  0.0  0.07090579825
236  0.0  0.0  0.0686760588  0.00105220488  0.0  0.0  0.06972826368
237  0.0  0.0  0.06751475605  0.00103597306  0.0  0.0  0.06855072911
238  0.0  0.0  0.0663534533  0.00101974124  0.0  0.0  0.06737319454
239  0.0  0.0  0.06519215055  0.00100350942  0.0  0.0  0.06619565997
240  0.0  0.0  0.0640308478  0.0009872776  0.0  0.0  0.0650181254
241  0.0  0.0  0.0630818478  0.00097409462  0.0  0.0  0.06405594242
242  0.0  0.0  0.0621328478  0.00096091164  0.0  0.0  0.06309375944
243  0.0  0.0  0.0611838478  0.00094772866  0.0  0.0  0.06213157646
244  0.0  0.0  0.0602348478  0.00093454568  0.0  0.0  0.06116939348
245  0.0  0.0  0.0592858478  0.0009213627  0.0  0.0  0.0602072105
246  0.0  0.0  0.0583368478  0.00090817972  0.0  0.0  0.05924502752
247  0.0  0.0  0.0573878478  0.00089499674  0.0  0.0  0.05828284454
248  0.0  0.0  0.0564388478  0.00088181376  0.0  0.0  0.05732066156
249  0.0  0.0  0.0554898478  0.00086863078  0.0  0.0  0.05635847858
250  0.0  0.0  0.0545408478  0.0008554478  0.0  0.0  0.0553962956
251  0.0  0.0  0.05375084451  0.0008441569  0.0  0.0  0.05459500141
252  0.0  0.0  0.05296084122  0.000832866  0.0  0.0  0.05379370722
253  0.0  0.0  0.05217083793  0.0008215751  0.0  0.0  0.05299241303
254  0.0  0.0  0.05138083464  0.0008102842  0.0  0.0  0.05219111884
255  0.0  0.0  0.05059083135  0.0007989933  0.0  0.0  0.05138982465
256  0.0  0.0  0.04980082806  0.0007877024  0.0  0.0  0.05058853046
257  0.0  0.0  0.04901082477  0.0007764115  0.0  0.0  0.04978723627
258  0.0  0.0  0.04822082148  0.0007651206  0.0  0.0  0.04898594208
259  0.0  0.0  0.04743081819  0.0007538297  0.0  0.0  0.04818464789
260  0.0  0.0  0.0466408149  0.0007425388  0.0  0.0  0.0473833537
261  0.0  0.0  0.04599558909  0.00073281859  0.0  0.0  0.04672840768
262  0.0  0.0  0.04535036328  0.00072309838  0.0  0.0  0.04607346166
263  0.0  0.0  0.04470513747  0.00071337817  0.0  0.0  0.04541851564
264  0.0  0.0  0.04405991166  0.00070365796  0.0  0.0  0.04476356962
265  0.0  0.0  0.04341468585  0.00069393775  0.0  0.0  0.0441086236
266  0.0  0.0  0.04276946004  0.00068421754  0.0  0.0  0.04345367758
267  0.0  0.0  0.04212423423  0.00067449733  0.0  0.0  0.04279873156
268  0.0  0.0  0.04147900842  0.00066477712  0.0  0.0  0.04214378554
269  0.0  0.0  0.04083378261  0.00065505691  0.0  0.0  0.04148883952
270  0.0  0.0  0.0401885568  0.0006453367  0.0  0.0  0.0408338935
271  0.0  0.0  0.03963303768  0.00063716463  0.0  0.0  0.04027020231
272  0.0  0.0  0.03907751856  0.00062899256  0.0  0.0  0.03970651112
273  0.0  0.0  0.03852199944  0.00062082049  0.0  0.0  0.03914281993
274  0.0  0.0  0.03796648032  0.00061264842  0.0  0.0  0.03857912874
