mHc	x_tt	x_tb	x_bb
145.0	85.82510403308096	0.41686063452023603	0.023733518153862786
150.0	60.948497612368975	0.35908657357203827	0.016876239716105954
155.0	39.70486553754433	0.2887674932963614	0.011026464245149557
160.0	22.17249015231423	0.1989032346305508	0.006223101530009096
165.0	10.249910716680604	0.09512838612945997	0.0029209469464464267
170.0	4.508151074077808	-0.006830792953718457	0.0013357817350232897
175.0	4.019963582338498	-0.008696379315516692	0.0011972724848972028
180.0	3.724409706073678	-0.007806123643047111	0.0011108912651547952
185.0	3.5179706316202424	-0.0070693286986928845	0.0010519854517221487
190.0	3.3129964899610607	-0.006328311331704485	0.0009933848624624647
195.0	3.186809607193949	-0.005777605823061822	0.0009548328323178431
200.0	3.007081566813079	-0.0051742587489252995	0.0009029790864394412
205.0	2.9540336181751377	-0.003881412982968469	0.0008662566210611962
210.0	2.900985669537196	-0.0025885672170116386	0.0008295341556829513
215.0	2.8479377208992545	-0.0012957214510548078	0.0007928116903047063
220.0	2.794889772261313	-2.875685097977862e-06	0.0007560892249264614
225.0	2.681619879732266	-1.0848582298196547e-06	0.0007251050262920362
230.0	2.5683499872032196	7.059686383385528e-07	0.000694120827657611
235.0	2.455080094674173	2.4967955064967602e-06	0.0006631366290231857
240.0	2.341810202145126	4.287622374654968e-06	0.0006321524303887605
245.0	2.250690093233254	1.9141105135846682e-06	0.0006070788466121616
250.0	2.159569984321382	-4.594013474856312e-07	0.0005820052628355628
255.0	2.06844987540951	-2.8329132085559307e-06	0.0005569316790589639
260.0	1.9773297664976381	-5.20642506962623e-06	0.000531858095282365
265.0	1.9019697758952887	-4.683540088408901e-06	0.0005112429357336024
270.0	1.8266097852929395	-4.1606551071915715e-06	0.0004906277761848399
275.0	1.7512497946905903	-3.637770125974242e-06	0.0004700126166360773
280.0	1.6758898040882408	-3.114885144756913e-06	0.00044939745708731476
285.0	1.6124198050681766	-3.139142427078674e-06	0.0004321086043901786
290.0	1.5489498060481124	-3.1633997094004354e-06	0.0004148197516930425
295.0	1.4854798070280482	-3.1876569917221967e-06	0.00039753089899590636
300.0	1.422009808007984	-3.211914274043958e-06	0.0003802420462987702
305.0	1.3691022937235366	-3.5327080896955403e-06	0.0003660674543558553
310.0	1.3161947794390891	-3.853501905347123e-06	0.00035189286241294046
315.0	1.2632872651546418	-4.174295720998705e-06	0.00033771827047002553
320.0	1.2103797508701946	-4.495089536650287e-06	0.00032354367852711067
325.0	1.1667197932948847	-3.8374038386974415e-06	0.0003117671537399354
330.0	1.123059835719575	-3.1797181407445957e-06	0.0002999906289527601
335.0	1.0793998781442649	-2.52203244279175e-06	0.00028821410416558476
340.0	1.035739920568955	-1.8643467448389042e-06	0.0002764375793784095
345.0	0.9990681655309788	-1.5455761990071911e-06	0.0002664692029148709
350.0	0.9623964104930025	-1.226805653175478e-06	0.0002565008264513324
355.0	0.9257246554550261	-9.080351073437649e-07	0.0002465324499877938
360.0	0.8890529004170499	-5.892645615120518e-07	0.00023656407352425527
365.0	0.8584149042807784	-4.748132143053765e-07	0.00022838379244367706
370.0	0.8277769081445069	-3.603618670987012e-07	0.00022020351136309882
375.0	0.7971389120082354	-2.4591051989202584e-07	0.0002120232302825206
380.0	0.7665009158719639	-1.314591726853505e-07	0.0002038429492019424
385.0	0.740496916722297	-2.7576521988717734e-07	0.00019660605027458392
390.0	0.7144929175726301	-4.200712670890042e-07	0.00018936915134722547
395.0	0.6884889184229632	-5.64377314290831e-07	0.00018213225241986701
400.0	0.6624849192732963	-7.086833614926578e-07	0.00017489535349250854
405.0	0.63991344518473	-3.947388114362712e-07	0.00016905397655636497
410.0	0.6173419710961636	-8.07942613798845e-08	0.0001632125996202214
415.0	0.5947704970075973	2.3315028867650206e-07	0.00015737122268407784
420.0	0.572199022919031	5.470948387328888e-07	0.00015152984574793427
425.0	0.553375023222724	3.6369112463918207e-07	0.0001464204591738337
430.0	0.5345510235264169	1.802874105454753e-07	0.0001413110725997331
435.0	0.5157270238301099	-3.116303548231461e-09	0.00013620168602563253
440.0	0.4969030241338029	-1.8652001764193823e-07	0.00013109229945153196
445.0	0.4808017895756497	9.269554446860056e-08	0.0001268862504882672
450.0	0.4647005550174965	3.7191110657913934e-07	0.00012268020152500243
455.0	0.44859932045934336	6.511266686896781e-07	0.00011847415256173763
460.0	0.43249808590119015	9.303422308002169e-07	0.00011426810359847287
465.0	0.41863880658499786	6.67491383949666e-07	0.00011051550524261014
470.0	0.4047795272688055	4.04640537099115e-07	0.00010676290688674741
475.0	0.39092024795261315	1.4178969024856408e-07	0.0001030103085308847
480.0	0.37706096863642086	-1.2106115660198686e-07	9.925771017502197e-05
